question,worker,answer
"AKRON, OHIO - 2000",Contributor#0(70.176.187.166),209704.0
"AKRON, OHIO - 2000",Contributor#2831561:OHWiki,217074.0
"AKRON, OHIO - 2000",Contributor#5512121:CapitalBot,217074.0
"AKRON, OHIO - 2000",Contributor#81676:Beirne,217074.0
"ALBION, IDAHO - 2000",Contributor#107782:Arkyan,262.0
"ALBION, IDAHO - 2000",Contributor#4373711:ArkyBot,203.0
"ALBION, IDAHO - 2000",Contributor#5512121:CapitalBot,262.0
"ALLEN, TEXAS - 2000",Contributor#0(134.139.221.65),69891.0
"ALLEN, TEXAS - 2000",Contributor#100156:Chfowler,43554.0
"ALLEN, TEXAS - 2000",Contributor#180524:Scm83x,43554.0
"ANAHEIM, CALIFORNIA - 2000",Contributor#1722939:055203,328014.0
"ANAHEIM, CALIFORNIA - 2000",Contributor#286968:Epolk,342410.0
"ANKENY, IOWA - 2000",Contributor#0(12.216.93.178),36161.0
"ANKENY, IOWA - 2000",Contributor#240680:SportsMasterESPN,27117.0
"ANTIOCH, CALIFORNIA - 2000",Contributor#0(76.192.50.229),130532.0
"ANTIOCH, CALIFORNIA - 2000",Contributor#1223837:Piercival,100590.0
"ANTIOCH, CALIFORNIA - 2000",Contributor#355013:Geopgeop,90532.0
"ANTIOCH, CALIFORNIA - 2000",Contributor#5512121:CapitalBot,100590.0
"ARKADELPHIA, ARKANSAS - 2000",Contributor#2670733:KnightofBAAWA,10912.0
"ARKADELPHIA, ARKANSAS - 2000",Contributor#5434261:Thecoolestdudesever,12412.0
"ARKADELPHIA, ARKANSAS - 2000",Contributor#5512121:CapitalBot,10912.0
"ARP, TEXAS - 2000",Contributor#0(74.196.109.99),1040.0
"ARP, TEXAS - 2000",Contributor#5512121:CapitalBot,901.0
"ASHBY, MASSACHUSETTS - 2000",Contributor#0(74.92.59.253),250845.0
"ASHBY, MASSACHUSETTS - 2000",Contributor#28804:Ajd,2845.0
"ASHBY, MASSACHUSETTS - 2000",Contributor#5512121:CapitalBot,2845.0
"ASHBY, MASSACHUSETTS - 2000",Contributor#988917:CapitalR,2845.0
"ATLANTA, GEORGIA - 2005",Contributor#1025703:Onyourside,470688.0
"ATLANTA, GEORGIA - 2005",Contributor#1804716:GGreeneVa,470688.0
"ATLANTA, GEORGIA - 2005",Contributor#194622:Ryoung122,483108.0
"AUGUSTA, MAINE - 2000",Contributor#0(72.73.85.108),24260.0
"AUGUSTA, MAINE - 2000",Contributor#201610:Pentawing,18560.0
"AUGUSTA, MAINE - 2000",Contributor#5512121:CapitalBot,24260.0
"AUSTINTOWN, OHIO - 2000",Contributor#0(72.23.104.252),38001.0
"AUSTINTOWN, OHIO - 2000",Contributor#1960810:Nyttend,31627.0
"AUSTINTOWN, OHIO - 2000",Contributor#5512121:CapitalBot,31627.0
"BALTIMORE, MARYLAND - 2006",Contributor#1291979:Strongbad1982,640961.0
"BALTIMORE, MARYLAND - 2006",Contributor#487916:Ajwebb,631366.0
"BALTIMORE, MARYLAND - 2006",Contributor#5512121:CapitalBot,640961.0
"BARGERSVILLE, INDIANA - 2000",Contributor#0(75.46.65.4),2890.0
"BARGERSVILLE, INDIANA - 2000",Contributor#5512121:CapitalBot,2890.0
"BARGERSVILLE, INDIANA - 2000",Contributor#620554:Harpchad,2120.0
