question,worker,answer
0,0,0
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,0
61,0,1
62,0,0
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,1
79,0,1
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,0,1
88,0,1
89,0,1
90,0,0
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,0,0
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,0
0,1,1
1,1,1
2,1,0
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,1
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,1
27,1,1
28,1,0
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,1
40,1,0
41,1,0
42,1,1
43,1,1
44,1,1
45,1,1
46,1,0
47,1,1
48,1,0
49,1,1
50,1,1
51,1,0
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,0
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,1,1
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,0
83,1,1
84,1,1
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,1
91,1,1
92,1,1
93,1,0
94,1,0
95,1,1
96,1,1
97,1,0
98,1,1
99,1,1
100,1,0
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,0
0,2,0
1,2,1
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
18,2,0
19,2,1
20,2,0
21,2,0
22,2,0
23,2,0
24,2,1
25,2,1
26,2,1
27,2,1
28,2,0
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
40,2,0
41,2,0
42,2,0
43,2,1
44,2,0
45,2,0
46,2,0
47,2,0
48,2,0
49,2,1
50,2,0
51,2,0
52,2,0
53,2,1
54,2,0
55,2,0
56,2,0
57,2,0
58,2,0
59,2,1
60,2,0
61,2,0
62,2,0
63,2,0
64,2,0
65,2,0
66,2,0
67,2,1
68,2,1
69,2,1
70,2,0
71,2,1
72,2,1
73,2,1
74,2,0
75,2,0
76,2,0
77,2,0
78,2,0
79,2,1
80,2,1
81,2,1
82,2,0
83,2,0
84,2,1
85,2,0
86,2,0
87,2,0
88,2,0
89,2,0
90,2,0
91,2,1
92,2,0
