,uid,item,annotation,pred_uerr
0,119,135,"[([425.0, 893.0], [458.0, 941.0]), ([518.0, 904.0], [552.0, 957.0]), ([619.0, 930.0], [650.0, 972.0])]",0.5802348508775151
1,16,135,"[([424.0, 898.0], [465.0, 941.0]), ([522.0, 911.0], [554.0, 949.0]), ([618.0, 937.0], [653.0, 980.0])]",0.5583212741977861
2,126,135,"[([418.0, 889.0], [459.0, 947.0]), ([516.0, 906.0], [552.0, 968.0]), ([611.0, 928.0], [652.0, 974.0])]",0.47307830288459546
3,1,135,"[([512.0, 888.0], [557.0, 969.0]), ([425.0, 883.0], [464.0, 946.0])]",0.49741606378483316
4,157,135,"[([426.0, 896.0], [458.0, 943.0]), ([520.0, 913.0], [549.0, 956.0]), ([616.0, 936.0], [643.0, 963.0])]",0.49251760020158425
5,178,135,"[([427.0, 898.0], [457.0, 943.0]), ([518.0, 909.0], [550.0, 955.0]), ([615.0, 938.0], [653.0, 976.0])]",0.5429941346275412
6,97,135,"[([603.0, 932.0], [658.0, 959.0]), ([508.0, 905.0], [561.0, 950.0]), ([414.0, 891.0], [458.0, 932.0])]",0.6168137311488263
7,13,135,"[([425.0, 881.0], [459.0, 946.0]), ([511.0, 900.0], [576.0, 958.0])]",0.6059515981572264
8,21,135,"[([514.0, 901.0], [555.0, 956.0]), ([430.0, 892.0], [457.0, 943.0])]",0.5126646934504498
9,101,93,"[([345.0, 316.0], [507.0, 488.0]), ([832.0, 357.0], [926.0, 472.0])]",0.38833569471544316
10,157,93,"[([337.0, 317.0], [529.0, 504.0]), ([827.0, 356.0], [932.0, 488.0])]",0.49251760020158425
11,21,93,"[([335.0, 317.0], [533.0, 491.0]), ([841.0, 354.0], [932.0, 474.0])]",0.5126646934504498
12,186,93,"[([354.0, 313.0], [511.0, 493.0]), ([856.0, 359.0], [939.0, 470.0])]",0.5522407426565659
13,1,93,"[([340.0, 302.0], [522.0, 504.0]), ([845.0, 333.0], [937.0, 481.0])]",0.49741606378483316
14,11,93,"[([336.0, 307.0], [524.0, 560.0]), ([840.0, 339.0], [936.0, 509.0])]",0.5256312198783651
15,178,93,"[([351.0, 314.0], [509.0, 504.0]), ([837.0, 350.0], [929.0, 474.0])]",0.5429941346275412
16,44,93,"[([364.0, 291.0], [523.0, 542.0]), ([849.0, 314.0], [936.0, 466.0])]",0.5411249846176879
17,126,93,"[([345.0, 308.0], [515.0, 503.0]), ([847.0, 351.0], [940.0, 473.0])]",0.47307830288459546
18,21,131,"[([730.0, 436.0], [914.0, 644.0]), ([979.0, 391.0], [1024.0, 545.0]), ([412.0, 397.0], [542.0, 565.0]), ([208.0, 338.0], [272.0, 423.0]), ([126.0, 347.0], [179.0, 413.0]), ([0.0, 349.0], [52.0, 469.0])]",0.5126646934504498
19,11,131,"[([424.0, 421.0], [550.0, 584.0]), ([747.0, 444.0], [921.0, 663.0]), ([968.0, 381.0], [1024.0, 547.0]), ([211.0, 326.0], [290.0, 431.0]), ([121.0, 349.0], [174.0, 418.0]), ([0.0, 344.0], [66.0, 479.0])]",0.5256312198783651
20,44,131,"[([750.0, 422.0], [937.0, 633.0]), ([966.0, 357.0], [1024.0, 590.0]), ([413.0, 427.0], [576.0, 588.0]), ([200.0, 340.0], [312.0, 457.0]), ([114.0, 317.0], [181.0, 417.0]), ([0.0, 340.0], [59.0, 493.0])]",0.5411249846176879
21,169,131,"[([739.0, 457.0], [912.0, 644.0]), ([957.0, 380.0], [1024.0, 534.0]), ([203.0, 331.0], [340.0, 433.0])]",0.6179430262964376
22,157,131,"[([750.0, 437.0], [906.0, 645.0]), ([456.0, 443.0], [557.0, 575.0]), ([220.0, 339.0], [286.0, 433.0]), ([134.0, 363.0], [177.0, 421.0]), ([0.0, 355.0], [62.0, 476.0]), ([964.0, 404.0], [1024.0, 538.0])]",0.49251760020158425
23,126,131,"[([2.0, 356.0], [56.0, 483.0]), ([216.0, 339.0], [285.0, 430.0]), ([746.0, 427.0], [918.0, 648.0])]",0.47307830288459546
24,1,131,"[([724.0, 418.0], [926.0, 661.0]), ([972.0, 408.0], [1024.0, 545.0]), ([211.0, 323.0], [281.0, 434.0]), ([6.0, 346.0], [60.0, 485.0])]",0.49741606378483316
25,42,131,"[([749.0, 488.0], [914.0, 642.0]), ([459.0, 509.0], [552.0, 570.0]), ([0.0, 347.0], [51.0, 472.0]), ([134.0, 384.0], [174.0, 408.0]), ([228.0, 353.0], [281.0, 424.0]), ([978.0, 385.0], [1024.0, 542.0])]",0.4953441381598111
26,186,131,"[([746.0, 485.0], [916.0, 645.0]), ([982.0, 417.0], [1024.0, 530.0]), ([456.0, 468.0], [551.0, 567.0]), ([226.0, 357.0], [282.0, 427.0]), ([134.0, 373.0], [171.0, 408.0]), ([0.0, 357.0], [56.0, 466.0])]",0.5522407426565659
27,44,174,"[([624.0, 532.0], [710.0, 700.0]), ([845.0, 548.0], [898.0, 610.0]), ([266.0, 594.0], [376.0, 725.0]), ([360.0, 634.0], [454.0, 695.0]), ([895.0, 528.0], [931.0, 598.0]), ([698.0, 520.0], [779.0, 675.0])]",0.5411249846176879
28,13,174,"[([247.0, 537.0], [330.0, 729.0]), ([629.0, 549.0], [733.0, 686.0]), ([721.0, 549.0], [797.0, 662.0]), ([863.0, 511.0], [906.0, 604.0])]",0.6059515981572264
29,119,174,"[([642.0, 535.0], [698.0, 704.0]), ([720.0, 550.0], [755.0, 687.0]), ([266.0, 587.0], [329.0, 709.0]), ([383.0, 599.0], [429.0, 682.0]), ([843.0, 547.0], [889.0, 618.0]), ([892.0, 547.0], [926.0, 606.0])]",0.5802348508775151
30,169,174,"[([641.0, 562.0], [720.0, 693.0]), ([708.0, 547.0], [767.0, 672.0]), ([261.0, 580.0], [354.0, 711.0]), ([385.0, 629.0], [427.0, 683.0]), ([863.0, 533.0], [898.0, 616.0]), ([892.0, 512.0], [943.0, 597.0])]",0.6179430262964376
31,157,174,"[([724.0, 585.0], [778.0, 679.0]), ([650.0, 594.0], [708.0, 709.0]), ([390.0, 642.0], [440.0, 685.0]), ([280.0, 629.0], [340.0, 712.0]), ([859.0, 563.0], [896.0, 611.0]), ([892.0, 561.0], [923.0, 605.0])]",0.49251760020158425
32,21,174,"[([645.0, 563.0], [702.0, 691.0]), ([707.0, 558.0], [771.0, 677.0]), ([859.0, 545.0], [897.0, 611.0]), ([264.0, 580.0], [344.0, 696.0]), ([892.0, 516.0], [922.0, 604.0])]",0.5126646934504498
33,1,174,"[([629.0, 579.0], [708.0, 704.0]), ([700.0, 559.0], [764.0, 684.0]), ([849.0, 525.0], [900.0, 612.0]), ([884.0, 535.0], [934.0, 618.0]), ([255.0, 600.0], [348.0, 702.0])]",0.49741606378483316
34,178,174,"[([271.0, 603.0], [333.0, 715.0]), ([632.0, 601.0], [703.0, 703.0]), ([709.0, 576.0], [762.0, 670.0]), ([857.0, 531.0], [899.0, 603.0]), ([895.0, 527.0], [927.0, 603.0])]",0.5429941346275412
35,186,174,"[([631.0, 599.0], [714.0, 705.0]), ([861.0, 546.0], [896.0, 608.0]), ([901.0, 553.0], [927.0, 613.0]), ([716.0, 575.0], [759.0, 674.0]), ([271.0, 613.0], [330.0, 710.0])]",0.5522407426565659
36,13,53,"[([247.0, 536.0], [300.0, 589.0]), ([371.0, 520.0], [406.0, 546.0]), ([459.0, 520.0], [490.0, 546.0]), ([549.0, 508.0], [583.0, 544.0]), ([655.0, 518.0], [696.0, 557.0]), ([0.0, 565.0], [43.0, 622.0]), ([812.0, 597.0], [934.0, 680.0])]",0.6059515981572264
37,1,53,"[([456.0, 513.0], [496.0, 556.0]), ([381.0, 520.0], [403.0, 551.0]), ([656.0, 504.0], [696.0, 553.0]), ([545.0, 506.0], [576.0, 546.0]), ([811.0, 598.0], [938.0, 680.0]), ([248.0, 527.0], [305.0, 586.0]), ([0.0, 549.0], [44.0, 628.0])]",0.49741606378483316
38,44,53,"[([824.0, 604.0], [941.0, 677.0]), ([656.0, 507.0], [699.0, 562.0]), ([549.0, 512.0], [577.0, 550.0]), ([463.0, 516.0], [510.0, 545.0]), ([378.0, 512.0], [404.0, 559.0]), ([257.0, 533.0], [307.0, 576.0]), ([174.0, 569.0], [224.0, 607.0]), ([0.0, 552.0], [27.0, 623.0]), ([60.0, 590.0], [107.0, 616.0])]",0.5411249846176879
39,11,53,"[([0.0, 577.0], [43.0, 622.0]), ([59.0, 581.0], [112.0, 622.0]), ([165.0, 565.0], [218.0, 605.0]), ([250.0, 532.0], [303.0, 593.0]), ([807.0, 593.0], [945.0, 680.0]), ([381.0, 520.0], [406.0, 547.0]), ([457.0, 525.0], [490.0, 548.0]), ([659.0, 506.0], [697.0, 552.0]), ([546.0, 508.0], [581.0, 549.0])]",0.5256312198783651
40,21,53,"[([461.0, 522.0], [484.0, 548.0]), ([497.0, 526.0], [517.0, 549.0]), ([549.0, 511.0], [576.0, 542.0]), ([659.0, 515.0], [688.0, 544.0]), ([375.0, 520.0], [402.0, 546.0]), ([808.0, 597.0], [949.0, 680.0]), ([247.0, 531.0], [298.0, 583.0]), ([0.0, 555.0], [31.0, 622.0])]",0.5126646934504498
41,95,53,"[([821.0, 611.0], [932.0, 680.0]), ([549.0, 512.0], [580.0, 542.0]), ([660.0, 513.0], [688.0, 546.0]), ([464.0, 525.0], [483.0, 542.0]), ([379.0, 524.0], [402.0, 543.0]), ([251.0, 535.0], [305.0, 585.0]), ([167.0, 569.0], [217.0, 594.0]), ([64.0, 589.0], [107.0, 618.0]), ([0.0, 559.0], [38.0, 609.0])]",0.5847965424647575
42,126,53,"[([253.0, 530.0], [305.0, 588.0]), ([461.0, 521.0], [490.0, 550.0]), ([372.0, 520.0], [400.0, 546.0]), ([547.0, 513.0], [581.0, 545.0]), ([656.0, 508.0], [688.0, 548.0]), ([817.0, 597.0], [940.0, 680.0])]",0.47307830288459546
43,178,53,"[([378.0, 518.0], [400.0, 544.0]), ([460.0, 519.0], [488.0, 553.0]), ([550.0, 510.0], [576.0, 544.0]), ([663.0, 514.0], [692.0, 547.0]), ([821.0, 601.0], [931.0, 680.0]), ([253.0, 532.0], [300.0, 585.0]), ([0.0, 556.0], [39.0, 619.0]), ([68.0, 592.0], [107.0, 614.0]), ([173.0, 573.0], [219.0, 600.0])]",0.5429941346275412
44,119,53,"[([65.0, 577.0], [113.0, 612.0]), ([175.0, 561.0], [218.0, 599.0]), ([254.0, 531.0], [298.0, 585.0]), ([381.0, 523.0], [395.0, 549.0]), ([409.0, 532.0], [430.0, 545.0]), ([457.0, 513.0], [485.0, 549.0]), ([494.0, 524.0], [513.0, 550.0]), ([551.0, 516.0], [579.0, 541.0]), ([580.0, 529.0], [596.0, 545.0]), ([659.0, 508.0], [687.0, 546.0]), ([687.0, 527.0], [708.0, 542.0]), ([794.0, 589.0], [946.0, 676.0])]",0.5802348508775151
45,61,15,"[([336.0, 316.0], [477.0, 551.0]), ([83.0, 194.0], [159.0, 349.0])]",0.48174739084614787
46,169,15,"[([338.0, 319.0], [487.0, 552.0]), ([89.0, 218.0], [182.0, 366.0])]",0.6179430262964376
47,11,15,"[([300.0, 287.0], [489.0, 576.0]), ([70.0, 191.0], [170.0, 390.0])]",0.5256312198783651
48,157,15,"[([340.0, 312.0], [467.0, 539.0]), ([91.0, 214.0], [159.0, 343.0])]",0.49251760020158425
49,119,15,"[([332.0, 289.0], [481.0, 553.0]), ([94.0, 219.0], [164.0, 353.0]), ([103.0, 65.0], [121.0, 104.0]), ([53.0, 61.0], [78.0, 101.0])]",0.5802348508775151
50,178,15,"[([338.0, 325.0], [486.0, 551.0]), ([96.0, 218.0], [181.0, 348.0])]",0.5429941346275412
51,21,15,"[([98.0, 211.0], [159.0, 354.0]), ([338.0, 329.0], [485.0, 547.0])]",0.5126646934504498
52,126,15,"[([320.0, 317.0], [477.0, 557.0]), ([99.0, 213.0], [166.0, 356.0])]",0.47307830288459546
53,13,15,"[([90.0, 221.0], [151.0, 342.0]), ([322.0, 330.0], [473.0, 548.0])]",0.6059515981572264
54,119,194,"[([105.0, 555.0], [216.0, 688.0]), ([135.0, 525.0], [177.0, 619.0]), ([310.0, 566.0], [370.0, 608.0]), ([538.0, 561.0], [686.0, 689.0]), ([763.0, 587.0], [949.0, 689.0]), ([588.0, 482.0], [684.0, 608.0]), ([844.0, 508.0], [934.0, 621.0]), ([906.0, 497.0], [1007.0, 602.0])]",0.5802348508775151
55,186,194,"[([124.0, 528.0], [181.0, 624.0]), ([540.0, 585.0], [672.0, 689.0]), ([582.0, 499.0], [684.0, 588.0]), ([847.0, 514.0], [946.0, 620.0]), ([105.0, 569.0], [207.0, 689.0]), ([776.0, 622.0], [918.0, 689.0]), ([380.0, 488.0], [431.0, 577.0]), ([477.0, 494.0], [528.0, 567.0]), ([320.0, 569.0], [367.0, 606.0])]",0.5522407426565659
56,21,194,"[([94.0, 514.0], [184.0, 626.0])]",0.5126646934504498
57,95,194,"[([85.0, 571.0], [222.0, 672.0]), ([119.0, 531.0], [180.0, 618.0]), ([536.0, 576.0], [655.0, 689.0]), ([763.0, 601.0], [927.0, 689.0]), ([853.0, 510.0], [928.0, 616.0]), ([922.0, 496.0], [1007.0, 601.0]), ([585.0, 485.0], [678.0, 582.0]), ([466.0, 495.0], [531.0, 567.0]), ([371.0, 490.0], [431.0, 565.0])]",0.5847965424647575
58,14,194,"[([851.0, 527.0], [957.0, 631.0]), ([535.0, 592.0], [673.0, 689.0]), ([576.0, 484.0], [672.0, 597.0]), ([395.0, 487.0], [451.0, 577.0]), ([112.0, 563.0], [219.0, 680.0]), ([753.0, 592.0], [965.0, 689.0])]",0.5478849478369842
59,61,194,"[([524.0, 573.0], [680.0, 689.0]), ([737.0, 607.0], [946.0, 689.0]), ([905.0, 500.0], [1005.0, 599.0]), ([569.0, 489.0], [679.0, 584.0]), ([87.0, 550.0], [214.0, 685.0]), ([461.0, 477.0], [545.0, 560.0]), ([842.0, 504.0], [938.0, 619.0])]",0.48174739084614787
60,126,194,"[([114.0, 518.0], [183.0, 617.0]), ([94.0, 553.0], [208.0, 689.0]), ([583.0, 492.0], [683.0, 584.0]), ([534.0, 568.0], [688.0, 689.0]), ([758.0, 605.0], [950.0, 689.0]), ([835.0, 504.0], [942.0, 627.0]), ([906.0, 499.0], [1008.0, 608.0]), ([373.0, 484.0], [443.0, 591.0])]",0.47307830288459546
61,1,194,"[([525.0, 565.0], [691.0, 689.0]), ([753.0, 592.0], [942.0, 689.0]), ([575.0, 484.0], [684.0, 594.0]), ([834.0, 505.0], [961.0, 641.0]), ([82.0, 553.0], [239.0, 689.0]), ([119.0, 518.0], [202.0, 640.0])]",0.49741606378483316
62,13,194,"[([111.0, 514.0], [185.0, 616.0]), ([518.0, 556.0], [664.0, 689.0]), ([764.0, 585.0], [900.0, 686.0]), ([840.0, 492.0], [937.0, 601.0]), ([382.0, 477.0], [435.0, 578.0])]",0.6059515981572264
63,1,20,"[([446.0, 374.0], [541.0, 486.0]), ([603.0, 382.0], [700.0, 500.0]), ([716.0, 418.0], [813.0, 532.0]), ([871.0, 439.0], [997.0, 553.0]), ([355.0, 210.0], [432.0, 326.0]), ([246.0, 157.0], [355.0, 277.0]), ([151.0, 243.0], [221.0, 347.0]), ([31.0, 241.0], [114.0, 344.0])]",0.49741606378483316
64,126,20,"[([263.0, 160.0], [349.0, 261.0]), ([361.0, 226.0], [427.0, 321.0]), ([451.0, 370.0], [546.0, 484.0]), ([606.0, 381.0], [702.0, 497.0]), ([719.0, 426.0], [811.0, 530.0]), ([892.0, 443.0], [991.0, 553.0])]",0.47307830288459546
65,186,20,"[([262.0, 169.0], [342.0, 254.0]), ([365.0, 233.0], [420.0, 312.0]), ([156.0, 251.0], [215.0, 335.0]), ([37.0, 254.0], [109.0, 330.0]), ([455.0, 385.0], [539.0, 477.0]), ([607.0, 399.0], [702.0, 491.0]), ([726.0, 434.0], [801.0, 523.0]), ([900.0, 435.0], [990.0, 544.0])]",0.5522407426565659
66,178,20,"[([44.0, 82.0], [183.0, 303.0]), ([267.0, 43.0], [415.0, 225.0]), ([512.0, 160.0], [672.0, 431.0]), ([777.0, 243.0], [945.0, 507.0])]",0.5429941346275412
67,119,20,"[([42.0, 250.0], [108.0, 334.0]), ([159.0, 242.0], [216.0, 340.0]), ([253.0, 152.0], [348.0, 259.0]), ([368.0, 221.0], [423.0, 310.0]), ([449.0, 370.0], [546.0, 483.0]), ([612.0, 387.0], [696.0, 496.0]), ([725.0, 417.0], [804.0, 526.0]), ([887.0, 436.0], [983.0, 547.0])]",0.5802348508775151
68,11,20,"[([858.0, 431.0], [1002.0, 550.0]), ([711.0, 422.0], [809.0, 542.0]), ([596.0, 390.0], [711.0, 505.0]), ([444.0, 365.0], [571.0, 521.0]), ([362.0, 213.0], [436.0, 311.0]), ([260.0, 163.0], [366.0, 287.0]), ([55.0, 258.0], [112.0, 324.0]), ([145.0, 254.0], [219.0, 353.0])]",0.5256312198783651
69,21,20,"[([446.0, 370.0], [545.0, 483.0]), ([605.0, 383.0], [696.0, 486.0]), ([727.0, 420.0], [807.0, 525.0]), ([894.0, 434.0], [986.0, 546.0]), ([358.0, 214.0], [424.0, 317.0]), ([244.0, 160.0], [349.0, 265.0]), ([158.0, 245.0], [215.0, 342.0]), ([38.0, 245.0], [106.0, 325.0])]",0.5126646934504498
70,44,20,"[([447.0, 370.0], [545.0, 495.0]), ([603.0, 378.0], [694.0, 496.0]), ([725.0, 430.0], [805.0, 528.0]), ([893.0, 426.0], [1016.0, 550.0]), ([363.0, 221.0], [432.0, 303.0]), ([252.0, 176.0], [343.0, 277.0]), ([160.0, 250.0], [225.0, 341.0]), ([41.0, 236.0], [120.0, 351.0])]",0.5411249846176879
71,13,20,"[([261.0, 168.0], [341.0, 249.0]), ([358.0, 222.0], [428.0, 313.0]), ([141.0, 243.0], [224.0, 338.0]), ([38.0, 236.0], [98.0, 321.0]), ([452.0, 362.0], [539.0, 480.0]), ([603.0, 370.0], [694.0, 474.0]), ([713.0, 408.0], [797.0, 519.0]), ([867.0, 445.0], [991.0, 548.0])]",0.6059515981572264
72,119,57,"[([343.0, 594.0], [357.0, 615.0]), ([304.0, 588.0], [315.0, 609.0]), ([267.0, 582.0], [277.0, 600.0]), ([228.0, 576.0], [242.0, 593.0]), ([204.0, 574.0], [215.0, 591.0]), ([179.0, 569.0], [189.0, 585.0]), ([159.0, 566.0], [170.0, 582.0])]",0.5802348508775151
