worker	sentence	workeranswer
worker70	298	To tell the truth, they are not couple.
worker70	869	Look at this picture and find me.
worker70	23	It will not be a problem if the road is not so crowded.
worker70	672	He lost sight of one eye in a traffic accident.
worker70	822	When my mother was young,she was bery beautiful.
worker70	950	If you help me,it is very happy.
worker70	148	She broken a promise.
worker70	809	I must prepare for tomorrow tonight.
worker70	666	I had no choice but to cancel the game because of the rain.
worker70	1009	If i am late,please you go.
worker71	659	If you have a million dollars, what would you do?
worker71	946	It is important to find true friends when you are young
worker71	826	He often used to come to talk to me on Sunday
worker71	132	He always writes to his parents once in a month
worker71	75	You have to try hard , if you want success
worker71	368	This coffee is too hot to drink
worker71	219	There will not differences at all, if you go today
worker71	256	Please take care of my baby, while I'm not here
worker71	418	When he was a boy, he is so cheerful
worker71	78	I was born in Osaka but I grew up in Tokyo
worker35	608	I want to catch the train to New York which leaves at 6 o'clock.
worker35	727	If it is raining tomorrow, the match will be canceled.
worker35	24	Kept waiting for two hours as well.
worker35	782	This is the hardest book I have ever read
worker35	610	Will you please find a house with a small garden?
worker35	641	Actually I do not feel like doing it.
worker35	53	Pass one year 's pocket money first.
worker35	1055	Happy if you come with me
worker35	839	If it is two minutes earlier, although I could get on the bus
worker35	823	The student did not even reply to the teacher.
worker72	713	It is yet to be seen whether this plan will succeed or not.
worker72	833	There used to be a coffee shop near the park.
worker72	939	Please give me a call.
worker72	770	I could not make myself heard in the noisy class.
worker72	654	I stayed at a hotel on a hill in that town.
worker72	320	He came here at ten and went back at eleven.
worker72	162	He failed to do what he said he would do.
worker72	683	Old Mr Smith is saving as much money as he can.
worker72	732	Having walked for some time, we came to the lake.
worker72	812	Ten to one it'll clear up in an hour or so.
worker24	22	Soccer is popular in Japan now than then.
worker24	720	First of all, be careful about what you eat and drink.
worker24	598	Please be sure to take a note of what she says.
worker24	570	I want to live as long as I can stay healthy.
worker24	33	He always talks about his father behind his back.
worker24	142	We have decided to postpone the meeting till next Sunday.
worker24	154	I don't have time to do everything I want to do.
worker24	539	If it were not for examinations, our school life would be merrier.
worker24	530	I am very honored to meet you.
worker24	43	I am happy for you because you got accepted by the school you wanted to go.
worker13	941	I worked very hard in order to not to fail my job.
worker13	701	What will you do, if you are in my position?
worker13	9	watch out for the cars, when you cross the street.
worker13	423	Don't get angry, and carm down. It is not good for you.
worker13	334	She studied very hard, lest she failed in the examination.
worker13	644	There was a fire near the station last night.
worker13	121	Nobody had the heart to say that he was wrong.
worker13	491	I have to do maany thing this week.
worker13	238	He went to Palis and met me first time at the time.
worker13	655	I don't know the certain time when he will come.
worker73	99	This job is very simple. So, children can work.
worker73	389	Which books is easy, this book or that book.
worker73	753	I need money. Please lend me money.
worker73	686	OK. I'll tell you. This is no good.
worker73	832	If you keep quiet, you can stay here.
worker73	864	I don't lent book to students.
worker73	401	That movie was big hit.
worker73	843	If tomorrow is rainy day, I'll stay my home.
worker73	140	He kindly show me his town.
worker73	927	I can't went to the school yesterday. Because, I had a sick.
worker41	170	There are 10 mile from here to the hospital.
worker41	362	They seldom go out since their child was born.
worker41	642	A sake is good to these time.
worker41	1029	When I go to New York city, visit you.
worker41	1042	If it will be rain tomorrow, we go out by bus.
worker41	773	I don't like him because he often get angry.
worker41	176	You should eat more  slowly, don't be quickly.
worker41	960	He always make friends wherever he goes.
worker41	796	I want to do the garden.
worker41	825	I dictate to him call you when he come back.
worker70	260	He will be sufflered if he will found.
worker70	502	If I have enough money,i will.
worker70	834	She has been suffering from back pain for many years.
worker70	617	How many hours do you take a nap every day?
worker70	531	Whatever happens, I will not be surprised.
worker70	745	You don't have to go in such a hurry.
worker70	691	It is difficult for what he say.
worker70	130	Nobody comes this deserted village.
worker70	873	His English composition is almost collect.
worker70	779	Last night I studied English without watching television.
worker9	870	we took turns driving on our way there.
worker9	499	i wish i have a japaneese version.
worker9	212	 I'm sorry I kept you waiting for a long time.
worker9	841	  I have a house　at a distance from the station.
worker9	80	That house still has not buyer.
worker9	1017	I have no idea  to contact him.
worker9	769	  Let's try this　I have　1 million yen on hand.
worker9	737	If you have some questions please let us know.
worker9	621	 It will rain in the afternoon  according to the weather forecast.
worker9	609	When the telephone rang, we are about to go out.
worker74	833	coffee shop near the park before
worker74	843	If rain tomorrow. I will stay at home
worker74	418	He was fine. Before
worker74	834	She is in trouble for many years. My back hurts.
worker74	950	Please help me.l am happy
worker74	154	I don't have time to do everything I want.
worker74	499	I want a Japanese version.
worker74	839	I was two minutes earlier, I was able to get on the bus.
worker74	773	He gets angry easily I don't he like
worker74	745	You do not have to hurry.
worker24	946	It is important to find a true friend when you are young.
worker24	531	No matter what happened, I won't be surprised.
worker24	683	Mr. Smith, the old man, saves as much money as he can.
worker24	655	It is uncertain when he will come.
worker24	654	I stayed at the hilltop hotel in that town.
worker24	401	The movie made a smash hit.
worker24	389	Which book is easier to read, this one or that one?
worker24	609	When the telephone rang, we were about to go out.
worker24	826	He would often visit me for a talk on Sundays.
worker24	99	This job is simple enough for a child to do.
worker70	23	It will not be a problem if the road is not so crowded.
worker70	809	I must prepare for tomorrow tonight.
worker70	1029	I will visit for you when I will go to New York.
worker70	727	If it will rain tomorrow,the game will be canceled.
worker70	170	There are ten miles to the hospital.
worker70	491	It is busy this week.
worker70	960	No matter where he goes, he makes friends necessary.
worker70	320	He came here at 10,and went back at 11.
worker70	617	How many hours do you take a nap every day?
worker70	530	I am very happy to meet you.
