,uid,sentence,sentenceId,parse
0,0,"That's what he needs , something warm to his skin , don't he '' ? ?",71,"(S1
  (FRAG
    (NP (NNP That's))
    (WHNP (WP what))
    (S
      (S (NP (PRP he)) (VP (VBZ needs)))
      (, ,)
      (NP
        (NP (NN something))
        (ADJP (JJ warm) (PP (TO to) (NP (PRP$ his) (NN skin)))))
      (, ,)
      (VP (VB don't) (NP (PRP he)) ('' ''))
      (. ?))
    (. ?)))"
1,0,I think that readers generally hate minute polemics and recriminations .,43,"(S1
  (S
    (NP (PRP I))
    (VP
      (VBP think)
      (SBAR
        (IN that)
        (S
          (NP (NNS readers))
          (VP
            (ADVP (RB generally))
            (VBP hate)
            (NP
              (JJ minute)
              (NNS polemics)
              (CC and)
              (NNS recriminations))))))
    (. .)))"
2,0,A three-man committee has recommended to Commission Chairman Charles O. Emmerich that the DeKalb County cannery be closed .,23,"(S1
  (S
    (NP (DT A) (JJ three-man) (NN committee))
    (VP
      (VBZ has)
      (VP
        (VBD recommended)
        (PP
          (TO to)
          (NP
            (NP (NNP Commission))
            (NNP Chairman)
            (NNP Charles)
            (NNP O.)
            (NNP Emmerich)))
        (SBAR
          (IN that)
          (S
            (NP (DT the) (NNP DeKalb) (NNP County) (NN cannery))
            (VP (VB be) (VP (VBN closed)))))))
    (. .)))"
3,0,"I do not claim to be free from sin , or from the need for repentance and forgiveness .",60,"(S1
  (S
    (NP (PRP I))
    (VP
      (VBP do)
      (RB not)
      (VP
        (VB claim)
        (S
          (VP
            (TO to)
            (VP
              (VB be)
              (NP
                (NP (JJ free))
                (PP
                  (PP (IN from) (NP (NN sin)))
                  (, ,)
                  (CC or)
                  (PP
                    (IN from)
                    (NP
                      (NP (DT the) (NN need))
                      (PP
                        (IN for)
                        (NP
                          (NN repentance)
                          (CC and)
                          (NN forgiveness))))))))))))
    (. .)))"
4,0,"Zing was the creation of two men , Louis Thor and Bill Blake , partners in zing ! !",69,"(S1
  (S
    (NP (NNP Zing))
    (VP
      (VBD was)
      (NP
        (NP (DT the) (NN creation))
        (PP
          (IN of)
          (NP
            (NP (CD two) (NNS men))
            (, ,)
            (NP
              (NP (NNP Louis) (NNP Thor))
              (CC and)
              (NP (NNP Bill) (NNP Blake))
              (, ,)
              (NP (NP (NNS partners)) (PP (IN in) (NP (NN zing)))))
            (. !)))))
    (. !)))"
5,0,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors .",36,"(S1
  (S
    (PP
      (IN Until)
      (NP
        (NP (DT the) (NNP Cuban) (NN fiasco))
        (CC and)
        (NP
          (NP (DT the) (NNP Communist) (JJ military) (NNS victories))
          (PP (IN in) (NP (NNP Laos))))))
    (, ,)
    (NP (RB almost) (DT any) (NN observer))
    (VP
      (MD would)
      (VP
        (VB have)
        (VP
          (VBD said)
          (SBAR
            (IN that)
            (S
              (NP (NNP President) (NNP Kennedy))
              (VP
                (VBD had)
                (NP
                  (NP (JJ blended) (DT a) (NN program))
                  (SBAR
                    (WHNP (WDT that))
                    (S
                      (VP
                        (VBD respected)
                        (, ,)
                        (ADVP (RB generally))
                        (, ,)
                        (NP
                          (NP (DT the) (NNS opinions))
                          (VP
                            (VBN voiced)
                            (PP
                              (DT both)
                              (IN by)
                              (NP
                                (NP (NNP Mr.) (NNP Nixon))
                                (CC and)
                                (NP (DT the) (NNS professors))))))))))))))))
    (. .)))"
6,0,Giffen suggested fifty dollars as fair compensation for a year's work ; ;,58,"(S1
  (S
    (S
      (NP (NNP Giffen))
      (VP
        (VBD suggested)
        (SBAR
          (S
            (NP (NN fifty) (NNS dollars))
            (PP
              (IN as)
              (NP
                (NP (JJ fair) (NN compensation))
                (PP (IN for) (NP (DT a) (NN year's) (NN work)))))))))
    (: ;)
    (: ;)))"
7,0,"So they go looking for mergers with other firms that have publicly quoted stock , and almost daily they pound on the doors of firms like Frito .",83,"(S1
  (S
    (ADVP (RB So))
    (S
      (NP (PRP they))
      (VP
        (VBP go)
        (VP
          (VBG looking)
          (PP
            (IN for)
            (NP
              (NP (NNS mergers))
              (PP
                (IN with)
                (NP
                  (NP (JJ other) (NNS firms))
                  (SBAR
                    (WHNP (WDT that))
                    (S
                      (VP
                        (VBP have)
                        (VP
                          (ADVP (RB publicly))
                          (VBN quoted)
                          (NP (NN stock)))))))))))))
    (, ,)
    (CC and)
    (S
      (ADVP (RB almost) (RB daily))
      (NP (PRP they))
      (VP
        (VB pound)
        (PP
          (IN on)
          (NP
            (NP (DT the) (NNS doors))
            (PP
              (IN of)
              (NP (NP (NNS firms)) (PP (IN like) (NP (NNP Frito)))))))))
    (. .)))"
8,0,"The partners each bring to it unselfish love , and each takes away an equal share of pleasure and joy .",45,"(S1
  (S
    (S
      (NP (DT The) (NNS partners))
      (ADVP (DT each))
      (VP
        (VBP bring)
        (PP (TO to) (NP (PRP it)))
        (NP (JJ unselfish) (NN love))))
    (, ,)
    (CC and)
    (S
      (NP (DT each))
      (VP
        (VBZ takes)
        (PRT (RP away))
        (NP
          (NP (DT an) (JJ equal) (NN share))
          (PP (IN of) (NP (NN pleasure) (CC and) (NN joy))))))
    (. .)))"
9,0,"Unfortunately , Blakey doesn't choose to work much of the time in this vein .",49,"(S1
  (S
    (ADVP (RB Unfortunately))
    (, ,)
    (NP (NNP Blakey) (NNS doesn't))
    (VP
      (VBP choose)
      (S
        (VP
          (TO to)
          (VP
            (VB work)
            (NP
              (NP (JJ much))
              (PP (IN of) (NP (DT the) (NN time)))
              (PP (IN in) (NP (DT this) (NN vein))))))))
    (. .)))"
