,uid,topic_item,rankings,labelstr
0,0,8,"[ 726  952  279  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  513  285 1011  895 1120  402  727  292  408]","[ 726  952  279  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  513  285 1011  895 1120  402  727  292  408]"
1,0,14,"[ 832  175  976  958  850  975  970  974  739  421  158  923  969  440
  998  481  966  661  210 1197  490  385  854  753 1119]","[ 832  175  976  958  850  975  970  974  739  421  158  923  969  440
  998  481  966  661  210 1197  490  385  854  753 1119]"
2,0,15,"[ 765  187 1148  794 1105  549  397 1163  961 1142 1124 1173  332 1143
  816 1147 1149 1189 1160 1146  653  940 1152   44  345]","[ 765  187 1148  794 1105  549  397 1163  961 1142 1124 1173  332 1143
  816 1147 1149 1189 1160 1146  653  940 1152   44  345]"
3,0,17,"[ 631  811  404  229  411  698  155  988  761 1187  504  498  713  756
  422 1191  948 1117  990 1161 1195  920  983  395  960]","[ 631  811  404  229  411  698  155  988  761 1187  504  498  713  756
  422 1191  948 1117  990 1161 1195  920  983  395  960]"
4,0,18,"[573 749 203 878 162 883 470 887 886 889 167 160 872 869 888  54 168 882
 463 468 879 881 880 460 367]","[573 749 203 878 162 883 470 887 886 889 167 160 872 869 888  54 168 882
 463 468 879 881 880 460 367]"
5,0,19,"[ 767  122 1164  629  506  742 1013  591  833  117  732  691  705 1165
  925  709  125  121 1021  784 1139  724  715  245 1067]","[ 767  122 1164  629  506  742 1013  591  833  117  732  691  705 1165
  925  709  125  121 1021  784 1139  724  715  245 1067]"
6,0,23,"[ 823  754  448 1130 1113  124  917  820 1001  518  865  813 1006  667
  807   55  267  483  612  831  924  918  283  417  278]","[ 823  754  448 1130 1113  124  917  820 1001  518  865  813 1006  667
  807   55  267  483  612  831  924  918  283  417  278]"
7,0,24,"[ 285  513  484  469 1011  243  617 1132 1050  279  945  777 1042  951
 1136  964  851 1120   60 1048  292  408  311 1135   39]","[ 285  513  484  469 1011  243  617 1132 1050  279  945  777 1042  951
 1136  964  851 1120   60 1048  292  408  311 1135   39]"
8,0,34,"[1179  396   37  208  982 1180   29   34  620  384  624   31  546 1176
 1175   40  453  207  618  979  389   18  520  424  192]","[1179  396   37  208  982 1180   29   34  620  384  624   31  546 1176
 1175   40  453  207  618  979  389   18  520  424  192]"
9,0,40,"[ 978 1159 1156  769  137  532  139  141  752   82 1010  793  893  140
 1102  106  134  224 1170  206   67  788 1038 1012 1114]","[ 978 1159 1156  769  137  532  139  141  752   82 1010  793  893  140
 1102  106  134  224 1170  206   67  788 1038 1012 1114]"
10,0,45,"[1022  731  640  637  578  325  644  581  647  646  565  946  778  643
  571  564  329  927  502  563  537  517  635  656  569]","[1022  731  640  637  578  325  644  581  647  646  565  946  778  643
  571  564  329  927  502  563  537  517  635  656  569]"
11,0,48,"[1198  749  886  445  367  203  470  221  878  161  894  889   54  869
 1055  222  468  881 1017 1032  588  748  160  167  872]","[1198  749  886  445  367  203  470  221  878  161  894  889   54  869
 1055  222  468  881 1017 1032  588  748  160  167  872]"
12,0,53,"[1059 1166  619  361  339  387  341 1186  533  471  324  806 1027 1098
  884  779  131  702  251 1058  812  472 1133  150  157]","[1059 1166  619  361  339  387  341 1186  533  471  324  806 1027 1098
  884  779  131  702  251 1058  812  472 1133  150  157]"
13,0,62,"[ 603  692  641  204 1127  681  474  911  201  953 1044  817  477  639
  764 1004  937  433  295  781  682  935  293   28  403]","[ 603  692  641  204 1127  681  474  911  201  953 1044  817  477  639
  764 1004  937  433  295  781  682  935  293   28  403]"
14,0,63,"[1078 1150  344  816  405   44  397  268 1151  257 1152 1148 1173 1149
  495   57 1124 1146  794  407  345  959 1160  320 1088]","[1078 1150  344  816  405   44  397  268 1151  257 1152 1148 1173 1149
  495   57 1124 1146  794  407  345  959 1160  320 1088]"
15,0,64,"[1178  211  870  668  197  560  848  616  322  383  855  903  250  662
  188  554  232  261  462  235  798  143  984  191  539]","[1178  211  870  668  197  560  848  616  322  383  855  903  250  662
  188  554  232  261  462  235  798  143  984  191  539]"
16,0,68,"[ 903 1178  856  197  120  380  668  839  560  188  462  662  870  277
  114  554  143  535  256  322  211  792  552  383  798]","[ 903 1178  856  197  120  380  668  839  560  188  462  662  870  277
  114  554  143  535  256  322  211  792  552  383  798]"
17,0,74,"[ 612  863  483   27  310 1006  826   41  127  813  198  754  890  819
  521  283  501  559  109  924  831   55  820  755  593]","[ 612  863  483   27  310 1006  826   41  127  813  198  754  890  819
  521  283  501  559  109  924  831   55  820  755  593]"
18,0,79,"[  57  333  959  237 1078 1144  332  397 1148 1143  961  405  330 1054
  320  940 1189  407 1173 1088  400   44  344  257 1146]","[  57  333  959  237 1078 1144  332  397 1148 1143  961  405  330 1054
  320  940 1189  407 1173 1088  400   44  344  257 1146]"
19,0,90,"[ 564  645  579  859  282  510  517  637  731  927  568  636  656  634
  587 1069  675  762  325  571  569  329  303  581  565]","[ 564  645  579  859  282  510  517  637  731  927  568  636  656  634
  587 1069  675  762  325  571  569  329  303  581  565]"
0,1,2,"[ 420  694  234  801  985  993  144  103  464 1097 1093  991  939    8
  804  994   58 1056 1051  987  933  665  808  280   75]","[ 420  694  234  801  985  993  144  103  464 1097 1093  991  939    8
  804  994   58 1056 1051  987  933  665  808  280   75]"
1,1,8,"[ 726  952  279  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  285  513  402  895 1120 1011  727  292  408]","[ 726  952  279  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  285  513  402  895 1120 1011  727  292  408]"
2,1,12,"[1099 1100  289  316  290  366  413  247  271  370 1019  602  374  315
 1033  847  193  672  671   89  368  262  772 1153  372]","[1099 1100  289  316  290  366  413  247  271  370 1019  602  374  315
 1033  847  193  672  671   89  368  262  772 1153  372]"
3,1,18,"[573 749 878 203 162 883 889 886 887 167 160 470 869 872 888 463  54 879
 882 468 168 881 367  88 880]","[573 749 878 203 162 883 889 886 887 167 160 470 869 872 888 463  54 879
 882 468 168 881 367  88 880]"
4,1,22,"[ 250  232  462  383  540  114  322  840  554  191  662  903  896  531
  535  839  539  856 1064  380  560  984  855   50  376]","[ 250  232  462  383  540  114  322  840  554  191  662  903  896  531
  535  839  539  856 1064  380  560  984  855   50  376]"
5,1,26,"[ 455  585  409  338  348  128   77  317  660  853  775  683  652  610
 1018  556  710  349  605  328  538  986 1063  757  450]","[ 455  585  409  338  348  128   77  317  660  853  775  683  652  610
 1018  556  710  349  605  328  538  986 1063  757  450]"
6,1,34,"[1179   37  396  982  208   29  384   34  624 1180  546  620   31  453
 1176   18 1175  389   40  979   38  424  207  520  618]","[1179   37  396  982  208   29  384   34  624 1180  546  620   31  453
 1176   18 1175  389   40  979   38  424  207  520  618]"
7,1,45,"[ 731 1022  640  637  578  581  325  644  643  946  646  571  647  565
  537  502  635  778  564  656  563  927  329  517  675]","[ 731 1022  640  637  578  581  325  644  643  946  646  571  647  565
  537  502  635  778  564  656  563  927  329  517  675]"
8,1,47,"[ 480  738   29  982  396   34  218   18 1176 1180   26  178 1175   38
 1179  736  209  288  207   96  618  389  453  728   53]","[ 480  738   29  982  396   34  218   18 1176 1180   26  178 1175   38
 1179  736  209  288  207   96  618  389  453  728   53]"
9,1,48,"[ 749 1198  445  161  878  470  203  886  367  222  221  894  869 1055
  468  889   54  881  588  872 1017  748  167  160 1032]","[ 749 1198  445  161  878  470  203  886  367  222  221  894  869 1055
  468  889   54  881  588  872 1017  748  167  160 1032]"
10,1,55,"[ 172  419   90 1094   48 1047  770  759 1061 1118  446  956  522  296
 1028 1049 1046  491   17 1107  965  412   25  371  340]","[ 172  419   90 1094   48 1047  770  759 1061 1118  446  956  522  296
 1028 1049 1046  491   17 1107  965  412   25  371  340]"
11,1,58,"[ 840  531  462  191  322  261  299  870  163  383  120  931  540  535
  242   50 1122 1178  235  848  188  554  552  380  386]","[ 840  531  462  191  322  261  299  870  163  383  120  931  540  535
  242   50 1122 1178  235  848  188  554  552  380  386]"
12,1,70,"[ 758   48 1096  515   90  574  418 1118  371 1103 1107  759  340  343
 1053 1073  687   49 1101 1046  392 1094    9  412  628]","[ 758   48 1096  515   90  574  418 1118  371 1103 1107  759  340  343
 1053 1073  687   49 1101 1046  392 1094    9  412  628]"
13,1,71,"[1100  272  316  847  944  676  897  374  247  671  315  666 1141  241
  244  875 1033  796  370  372  623  368  672 1019  289]","[1100  272  316  847  944  676  897  374  247  671  315  666 1141  241
  244  875 1033  796  370  372  623  368  672 1019  289]"
14,1,79,"[  57  333  959 1078 1143 1148  332  237  961  397  405  257  320 1173
 1054 1144  344 1189 1088   44  330  940 1146 1124  400]","[  57  333  959 1078 1143 1148  332  237  961  397  405  257  320 1173
 1054 1144  344 1189 1088   44  330  940 1146 1124  400]"
15,1,80,"[ 415  248  176  184  355 1080  255 1077  977  118  352  382  575  876
  906  287  123  821 1172 1076 1079 1085 1137 1060 1131]","[ 415  248  176  184  355 1080  255 1077  977  118  352  382  575  876
  906  287  123  821 1172 1076 1079 1085 1137 1060 1131]"
16,1,83,"[ 787  318 1038 1188  774 1156  116 1010  139  276  773 1102   10  486
  822  893  217 1012  769  134   82 1114  793 1170  722]","[ 787  318 1038 1188  774 1156  116 1010  139  276  773 1102   10  486
  822  893  217 1012  769  134   82 1114  793 1170  722]"
17,1,89,"[ 758  258 1061 1096 1094  687  803  392  902  543  426  479   17  491
 1103 1049 1028   48   21  943 1073  343  759  522  172]","[ 758  258 1061 1096 1094  687  803  392  902  543  426  479   17  491
 1103 1049 1028   48   21  943 1073  343  759  522  172]"
