topic_item,gold
0,"[ 819 1064  191 1189  368  306  290   56   30  451 1186  399  748   75
  169  257   29  180  102 1042 1188  387  999 1087  749  594  362  527
  145  529  979  619  693 1054  915   79  182  212  862  636  455 1048
  847  986  945 1015  456  520  289  193]"
1,"[ 292  648  650  588  647  656  333  907  583  516  565  576  513  303
  649  310  664  568    9 1165  291  869  652  243  354  567  335  519
  299  273  921  684  356  745  868  264  321  573  517  572  571  577
 1022  521  155  570  586  934  560  117]"
2,"[ 700  230  989  449  589  130  965  121  987   97  431  922  347  967
  966 1043   98 1050  877  498  339 1056 1055  225  628  400  167 1160
  328  120 1126    0  495  796   26   35 1039 1145  672 1002  788  677
  332 1038 1010  224  281  150 1037  352]"
3,"[ 533 1004  123   65  787 1110 1132  942  708  460  134  622  822  678
 1133  943  116  759  484 1170   42 1088  227  867  645  723 1140 1103
  736  499  944  751  802  851  692  178  331  836 1175  640  866 1124
  691  917 1044 1123  996 1067  226  809]"
4,"[ 981  937  767  261  160 1144  766 1018  345  370   61  319  454 1102
  983  135  381  476 1135  765  711  832  163  870  367  369  170  139
  724  453  768 1041  707  820  465  574  329  342  833  207  246   80
  909 1058  330  960  769  545  237  784]"
5,"[ 605  803  984  774  878  494  393  500  621   87  689  432  359 1119
  524   25  604  752  551  206  804   68  108  919  360  757   24  925
  849  642  395  595  569  526  388   40  591  998   71    8 1045  110
 1086  598  587  111  204  525 1006  288]"
6,"[ 186  419  217  209  467  727  592  789  210  853  315  133 1147  124
  107  275  557  714  875  153 1014 1107  457 1013  126  563 1115  511
  176  336  196  746    3  566  414  578  464  814  608 1167  658 1016
  813  293  885  756 1197  596  690  879]"
7,"[ 487  129  154 1093 1139   83  581  542  644  113   18  880 1117  344
  197 1029  412  855  536   78  219  277 1023  213  861   20   17  445
  389 1138  228  220  639  701  734  728  405  939  952  343  783  948
  173   23  991  174 1111  624    2  263]"
8,"[ 685  554  471   36  908  151  600   38   93  775  426  234  676  810
  538  272  430  935 1011  485  348  997 1131  634 1116  821 1177  831
  680  544  773 1047  635  626  501  918  231   31 1025 1008 1168  961
  682 1136 1030   73  844  461  256  599]"
9,"[ 687 1028 1012  138  338  386   66   60  968   67 1090  694   72  781
 1128  840  404  373  294  688  760  902  936  593 1068  706  651  755
  951 1053  377  816  548  518  750  341  274  313  800  932  845  754
  394  101  838 1075  358  590  923  637]"
10,"[ 662  663  309 1112  703   88  871  512  463   54 1035  710   62 1100
 1060 1155  469  964  531  447   69  957  323  602  340  459  317  528
  349  532  740  623 1072  115  665  959  702   51  956   96  251   37
  322  530  776  827  304  743  185  660]"
11,"[  15  954  420  903  411  172   84   45  466  738  192  175  218  632
 1109 1046  470  106  462  731    5  413  695  301  829 1007  900  995
  779  448  198  136  553  215   81 1005    4  659 1184  366    6  421
  166  850  458  777  158  893  384 1063]"
12,"[ 786  365  607 1097  429 1052  606  376  235  379  913  378  834   92
  382  950  860  584  279  585  641 1020  953  372  483  371  380  287
  188  236   44  826 1158  375  674  320  241  673  239  238 1141  269
  119  240 1065  655  629  286  982   86]"
13,"[  63  311  763   85   16  793  618  549   48  791  795   53   32  785
  864  668  794   77  318  617   13  863  283   99  550  686  790  385
   64 1161   70  417  858  503  611  425   49  428  610  653 1134  346
  726  811   41 1114  390  616  515  926]"
14,"[ 808  739  670  974  973  402  969  671 1074  661  970  657 1073  194
 1198  887  753  975  930  316  859  931  928 1003  971  972  927  962
  488  666  324  266 1187  265  856 1199  403  146 1106  683  546 1040
 1190 1001  103  407   19  439  216  854]"
15,"[ 350  156  363 1163 1095 1149  564 1099 1148  675 1094 1098  852 1153
  835  334  278  646  314  837 1151 1162  408 1150 1183  262 1143 1152
   50 1142  988 1159  242  267  307  259 1181  715   52  556 1154   33
 1051 1182  159  842  958 1169 1146  374]"
16,"[ 933   46  308  199   59  401  815  152 1156  613  423 1049   57   90
  312  223  597   14  142  486  615  612  187  697  502  337   74  190
   10  184  985  141  327  164  705   58  200  122  522  698 1104  614
  539 1195   21  552 1105  140  493  202]"
17,"[ 535  963  143  418  491  254  798  643  764 1173  247  772 1193 1180
  762  179  452   76  806  993   22  938  994 1194 1164   89  955 1174
 1113  280 1091  509 1166 1171 1096  992  409  841  630  929  916 1176
  609 1196 1129  284  818  940  427 1192]"
18,"[ 157  475  681  480  221  897  891  896  881  148  147  473  899   82
  482  894  474  886  890 1057  895  901 1034  580  883  898  884  817
  478  168  211  534  946  128 1059  181 1024  149   12  479  620 1120
 1130 1017  778  232  162  171  725  812]"
19,"[ 941 1009  137  713  704 1026  508  780  729 1089 1036 1172  718  947
  848 1137  208 1061 1121  782 1122  433  846  805  699  888  654 1019
  357  720  450 1066  112  507  839  203  721  889  114 1062  717  719
  201  722  446  801  716  353   28 1092]"
20,"[1127  253  297  892  248    7  977 1070  980  976  326 1032  205 1000
 1076  355  109  435  441 1078  443 1125  250  249  252 1071 1082 1179
 1079  696 1083  255  440  434 1081  792  438 1077 1080 1085  582 1069
 1031   11  442 1027  444  118  807 1084]"
21,"[ 843   94  771  351  489  100  131  627  732  391  144  924  222  422
  744  742 1033  747  270  978  268  161  730 1191  912  679  298  325
  477  733  468  195  857  735  712 1108  537  296  364  305  132  920
  104  105  183   91   95  300   39   43]"
22,"[ 271  276  555  562  910  543  510  392  547  233  911  667  492  799
  579  214  541  424  396  559   34   47  575  558 1185  490  625  127
  260  302  165  949  638  830  882  540  383  561  229  361    1  406
  125  472  872  177  244  245  633  797]"
23,"[ 603  415  631  741 1157  601  398  737 1021  295  828  282  990  770
  397  437  906  514  416  758 1101   55  824  904  905  874  410  914
  865  876  496 1178  506  825  481  505  873  258  497 1118  669  504
  189  709   27  523  823  285  436  761]"
24,"[ 464 1107  315    3  658  457  293  789  566  885  275  107  126  814
  196 1147  879  217  419  210  124  133  608  557  186 1167 1197  153
  813  209 1013  467 1014  176  746 1016  756  596  714  727  592  853
 1115  690  511  336  563  875  578  414]"
