question,truth
http://0800-horoscope.com,1
http://18games.net,4
http://1pixelout.net,1
http://1porno.com/004/teens/index.html,4
http://1stpussy.com/005/16/index.html,4
http://3x-pix.com,4
http://4-panama-city-beach-condo.com/index.htm,1
http://4d.com,1
http://4neurons.com,1
http://4whw.8m.net/,4
http://6lyrics.com,1
http://6t9u.com,4
http://79.170.40.167/micromin.net/downloads/index.php?=&=http://nickscipio.com/pod/2008/11/08_helicoptersex.html,1
http://991.com,1
http://9dir.com,1
http://AOL.com,1
http://AllHiphop.com,1
http://Apartmentguide.com,1
http://Apartments.com,1
http://AsianAve.com,2
http://Autotrader.com,1
http://Beatlesarama.com,1
http://BoatingMag.com,1
http://Break.com,3
http://CarDomain.com,1
http://CarandDriver.com,1
http://CareerBuilder.com,1
http://CelebSlam.com,3
http://Classmates.com,1
http://Cooking.com,1
http://DiaperSwappers.com,1
http://DrudgeReport.com,2
http://Earthlink.net,1
http://Elle.com,2
http://Ellegirl.com,1
http://FactMonster.com,1
http://Flightstats.com,1
http://a2phone.com,1
http://aarpmagazine.org,1
http://ablelinks.com,1
http://accurint.com,2
http://acehardwaresuperstore.com,1
http://activeboard.com,1
http://adameve.com,4
http://adc.gsfc.nasa.gov/,1
http://add2dir.info,1
http://adonomics.com,1
http://adult-porn-sites.net/shemale-comics/,4
http://adultdvdemart.com,4
http://adultswim.co.uk,2
http://advogato.org,1
http://aetna.com,1
http://affiliateguide.com,1
http://affiliatemarketingreviewer.com,1
http://allbetsareoff.com,1
http://alpha-cow.com/sites/amateur/julia/,4
http://alphawomen.com,2
http://amateur18s.adultbouncer.com/,4
http://analogx.com,1
http://ancestorsites.com,1
http://andhrapradesh.com,1
http://animea.net,1
http://anything-asian.net,2
http://apolloguide.com/mov_revtemp.asp?cid=950,1
http://apprupt.com,1
http://aquatapes.com,4
http://ar.geocities.com/hentsen/index.html,4
http://arcspace.com,1
http://aresearchguide.com,1
http://army.mod.uk,1
http://articlegold.com,1
http://articlemajoris.com,1
http://articlesandauthors.com,2
http://asandboxgreeting.com,1
http://asiatos.com,4
http://askganesha.com,1
http://autumntree.info,1
http://avert.org,2
http://avonarticles.com,1
http://azureuswiki.com,1
http://babepedia.com,3
http://babyboomerlifeboat.com,1
http://backseatcuddler.com/2007/04/09/lauren-conrad-and-jason-wahler-sex-tape/,3
http://backseatcuddler.com/2007/09/08/vanessa-hudgens-sexy-naughty-and-nude/,2
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/,2
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/adriana-lima-sex-tape/,3
http://backseatcuddler.com/2008/01/13/tiffany-new-york-pollard-has-a-sex-tape/,3
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/,3
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,2
