"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","Input.document","Input.lineNum","Input.numSegs","Input.seg1","Input.seg2","Input.seg3","Input.seg4","Input.seg5","Input.seg6","Input.seg7","Input.seg8","Input.seg9","Input.seg10","Input.seg11","Input.seg12","Input.seg13","Input.seg14","Input.seg15","Input.seg16","Input.seg17","Input.seg18","Input.seg19","Input.seg20","Answer.comment","Answer.seg5","Answer.translation1","Answer.where_learned","Answer.how_long","Answer.translation2","Answer.what_aid","Answer.usedMT","Answer.translation3","Answer.native_language","Answer.translation4","Answer.where_live","Answer.translation5","Answer.seg1","Answer.seg2","Answer.seg3","Answer.seg4","Answer.how_long_English","Approve","Reject"
"6TSZNRZJXWNZWBZXBX5Z","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","23","","6TSZNRZJXWNZWBZXBX5ZHY6ZJAHM6YFPPWZQWJQZ","A132ZMWEMNNUSA","Approved","Wed Jun 10 16:52:52 GMT 2009","Wed Jun 10 17:25:11 GMT 2009","Wed Jun 17 17:25:11 GMT 2009","Wed Jun 10 11:10:21 PDT 2009","","","1939","urd-WL-86-174276-11370234-post5","1551","5","-آدم سانگھڑ،مہر۔","جہاں تک الزامات کا تعلق ہے تو کوئی بھی انسان دوسرے پہ لگا سکتا ہے","عزت سے بڑھ کے کوئی چیز نہیں ہے","موجودہ بیوی اور عدنان سمیع کے تعلق کچھ بھی ہوں عدنان سمیع اپنی عزت کی زندگی چھوڑ کر پیسہ کمانے بھارت گیا تھا،اب وہی شہرت اس کے گلے پڑگئی ہے","یہ اس کی اپنی حرکتوں کا خمیازہ ہے","","","","","","","","","","","","","","","","","یہ اس کی اپنی حرکتوں کا خمیازہ ہے","Adam Sanghar, Meher","It is my native tongue. Learned it at home and school.","30 years","As far as the allegations are concerned, anyone can levy them on any other person.","N/A","no","There is nothing superior to honor.","Urdu","Whatever is the current state of relations between Adnan Sami and his wife, Adnan Sami left his respectable life and went to India to earn a fortune. The same fame has now importuned him.","Pakistan","It is the outcome of his wrong doings.","-آدم سانگھڑ،مہر۔","جہاں تک الزامات کا تعلق ہے تو کوئی بھی انسان دوسرے پہ لگا سکتا ہے","عزت سے بڑھ کے کوئی چیز نہیں ہے","موجودہ بیوی اور عدنان سمیع کے تعلق کچھ بھی ہوں عدنان سمیع اپنی عزت کی زندگی چھوڑ کر پیسہ کمانے بھارت گیا تھا،اب وہی شہرت اس کے گلے پڑگئی ہے","Approx 10 years"
"3X2JWZZ21XRM5A825XVZ","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","13","","3X2JWZZ21XRM5A825XVZQTEW79XN78BY11MK92AZ","ALRGHXUNH1UV7","Approved","Thu Jun 11 15:46:54 GMT 2009","Thu Jun 11 16:03:47 GMT 2009","Thu Jun 18 16:03:47 GMT 2009","Fri Jun 12 09:12:33 PDT 2009","","","1013","urd-NG-102-174502-11516161-post36","1120","5","اقوامِ متحدہ کی سلامتی کونسل نے جماعت الدعوہ پر پابندی عائد کر دی ہے، آخر سلامتی کونسل کے پاس کيا ثبوت ہيں جس پر اسنے اتنی عجلت دکھائی؟","کيا سلامتی کونسل ہميشہ مسلمانوں کے خلاف اتني مستعدی نہيں دکھاتي؟","اس کو کہتے ہيں کہ مدعی سست گواہ چست!","ديکھا جائے تو بھارت خود ہی ايک ناکام رياست بن چکا ہے!","جس کی انٹيليجنس، فوج اور دوسرے سکيورٹی ادارے ناکام ہو چکے ہيں، جو چند دہشتگردوں کے ہاتھوں 72 گھنٹے تک تگنی کا ناچ ناچتے رہے اور بھارت اپنی اس ناکامی کا الزام پاکستان پر ڈال کر پوری دنيا کو دھوکہ دے رہا ہے۔","","","","","","","","","","","","","","","","","جس کی انٹيليجنس، فوج اور دوسرے سکيورٹی ادارے ناکام ہو چکے ہيں، جو چند دہشتگردوں کے ہاتھوں 72 گھنٹے تک تگنی کا ناچ ناچتے رہے اور بھارت اپنی اس ناکامی کا الزام پاکستان پر ڈال کر پوری دنيا کو دھوکہ دے رہا ہے۔","The UN Security Council on the party Al-qaeda banned, the end of the Security Council, what are the evidence seems so hurry?","mother tounge","birth","What the Security Council against Muslims endorses such activity is not showned?","a dictionary","no","To say that the plaintiff slow are witness mercurial!","urdu","India, itself has become a failed government!","india","The army, intelligence  and other security institutions have failed, the terrorists who hands may carry 72 hours of the Defense Department was Round and its failure of India accused Pakistan of put and the entire world.","اقوامِ متحدہ کی سلامتی کونسل نے جماعت الدعوہ پر پابندی عائد کر دی ہے، آخر سلامتی کونسل کے پاس کيا ثبوت ہيں جس پر اسنے اتنی عجلت دکھائی؟","کيا سلامتی کونسل ہميشہ مسلمانوں کے خلاف اتني مستعدی نہيں دکھاتي؟","اس کو کہتے ہيں کہ مدعی سست گواہ چست!","ديکھا جائے تو بھارت خود ہی ايک ناکام رياست بن چکا ہے!","from schooling"
"TYVG7JDFBKPZHDZMCSS0","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","2","","TYVG7JDFBKPZHDZMCSS0YSWYNHWHWXSZWADWYXRZ","ALRGHXUNH1UV7","Approved","Thu Jun 11 15:47:01 GMT 2009","Thu Jun 11 16:09:21 GMT 2009","Thu Jun 18 16:09:21 GMT 2009","Fri Jun 12 09:12:31 PDT 2009","","","1340","urd-WL-78-174262-11377692-post3","1415","5","یہ سارے حکمران ایک بریف کیس اٹھا کر بھاگنے والے ہیں، انکو کیا، ملک رہے یا نا رہے۔","عوام منجن بیچے یا لیموں کا چھلکا لے کر مندروں کی گھنٹیاں مانجھ رہی ہو۔","ایک تو ہمارا میڈیا بھی حکمرانوں کی طرح حرام خور ہے۔","اسکا مقصد صرف اور صرف حکومت سے پیسے بٹورنا ہے اور کچھ نہیں۔","رہی عوام تو وہ رہی جاہل اسکے بارے میں بات کرنا اس سے بڑی جہالت","","","","","","","","","","","","","","","","","رہی عوام تو وہ رہی جاہل اسکے بارے میں بات کرنا اس سے بڑی جہالت","All these things in the right to take the country, those people, or in a.","mother tounge","birth","They also demanded that the people dentifrice or lemon with the crust temples have clearly indicates they are washing with it","a dictionary","no","Also, the leaders of our media, convening forbidden.","urdu","His purpose only money from the group and some not.","india","People are illiterate, he was talking about it is the biggest ignorance to","یہ سارے حکمران ایک بریف کیس اٹھا کر بھاگنے والے ہیں، انکو کیا، ملک رہے یا نا رہے۔","عوام منجن بیچے یا لیموں کا چھلکا لے کر مندروں کی گھنٹیاں مانجھ رہی ہو۔","ایک تو ہمارا میڈیا بھی حکمرانوں کی طرح حرام خور ہے۔","اسکا مقصد صرف اور صرف حکومت سے پیسے بٹورنا ہے اور کچھ نہیں۔","from schooling"
"8XMZWFY5KYZZQ9ZWW8VZ","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","2","","8XMZWFY5KYZZQ9ZWW8VZAZKM4QZX6Y2Z4PZ6VYR0","A8V7WA74IOHZ9","Approved","Fri Jun 12 05:38:24 GMT 2009","Fri Jun 12 08:17:15 GMT 2009","Fri Jun 19 08:17:15 GMT 2009","Fri Jun 12 09:12:31 PDT 2009","","","9531","urd-WL-86-174276-11370245-post2","1613","5","-عثمان آفتاب۔","میرے خیال میں بڑی طاقتیں ہیں وہ پاکستان کو مکمل نقصان پہنچانا نہیں چاہتیں ہیں","بلکہ اسے قابو میں رکھنے کے لئے کچھ اقدامات کا سوچ رہی ہیں انہیں معلوم ہے کہ پاکستان ایک ایٹمی قوت ہے","یہاں کوئی انقلاب کی صورت پیدا کرنا چاہتے ہیں","بیرونی ممالک یہی سوچ رہے ہیں کہ پاکستان کو کارنر کرنے سے سیاسی جغرافیائی طور کچھ مشکلات ہوسکتی ہیں پاکستان کی مدد کرنا بھی چاہتے ہیں اور اپنا مقصد بھی پورا کرنا چاہتے ہیں","","","","","","","","","","","","","","","","","بیرونی ممالک یہی سوچ رہے ہیں کہ پاکستان کو کارنر کرنے سے سیاسی جغرافیائی طور کچھ مشکلات ہوسکتی ہیں پاکستان کی مدد کرنا بھی چاہتے ہیں اور اپنا مقصد بھی پورا کرنا چاہتے ہیں","Usman Aftab.","It is my native language.","Since I started to speak.","I think Super powers don't want to destroy Pakistan","Nothing.","no","rather they are thinking of certain policies to control her they are familiar that Pakistan is an atomic power","Urdu","want to bring some sort of revolution","Islamabad, Pakistan.","Foreign countries believe that by cornering Pakistan few hurdles may generate want to support Pakistan and also wish to achieve their goal","-عثمان آفتاب۔","میرے خیال میں بڑی طاقتیں ہیں وہ پاکستان کو مکمل نقصان پہنچانا نہیں چاہتیں ہیں","بلکہ اسے قابو میں رکھنے کے لئے کچھ اقدامات کا سوچ رہی ہیں انہیں معلوم ہے کہ پاکستان ایک ایٹمی قوت ہے","یہاں کوئی انقلاب کی صورت پیدا کرنا چاہتے ہیں","5 to 6 years."
"MY7Z3B9S4HYZHPGQNKKZ","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","30","","MY7Z3B9S4HYZHPGQNKKZXKZ2NJ0TTY8Z73YMFWS0","A2I57WW1B3EVWX","Approved","Tue Jun 09 15:08:22 GMT 2009","Tue Jun 09 20:06:36 GMT 2009","Tue Jun 16 20:06:36 GMT 2009","Tue Jun 09 13:08:55 PDT 2009","","","17894","urd-WL-86-174276-11370245-post11","1595","5","-ملک یوسف، دوبئی۔","یہ سب انہی لوگوں کا کیا دھرا ہے کشمیری پچھلے ساٹھ سال سے آزادی کی جنگ لڑ رہے ہیں ا","نہیں کسی نے نہیں پوچھا اب وہی انتہاپسندی اور دہشت گردی کی جنگ مین پھنس چکے ہیں تو صلح صفائی کی باتیں شروع کردی گئ ہیں","پہلے مسلمانوں کا قتل عام کیا اب معاملات سلجھانے کی چکر میں ہیں","بہر حال پاکستان کو ان کی دوغلی پالیسی کو سمجھنا ہوگا،","","","","","","","","","","","","","","","","","بہر حال پاکستان کو ان کی دوغلی پالیسی کو سمجھنا ہوگا،","mulk yusuf Dubai","home","20","All this is done by these people. Kashmir is fighting for its freedom from past 60 years.","nothing","no","those who have not asked about it have now themselves in deep violence. talks of comprise has been started","urdu","first killed Muslims openly now heading for cover it","india","anyways Pakistan should understand their double policies.","-ملک یوسف، دوبئی۔","یہ سب انہی لوگوں کا کیا دھرا ہے کشمیری پچھلے ساٹھ سال سے آزادی کی جنگ لڑ رہے ہیں ا","نہیں کسی نے نہیں پوچھا اب وہی انتہاپسندی اور دہشت گردی کی جنگ مین پھنس چکے ہیں تو صلح صفائی کی باتیں شروع کردی گئ ہیں","پہلے مسلمانوں کا قتل عام کیا اب معاملات سلجھانے کی چکر میں ہیں","15"
"YZJ4SQ0B4ZBYZFZD6YY0","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","16","","YZJ4SQ0B4ZBYZFZD6YY0AA5GVZZY7X0ZTXME5Z7Z","A3U16UHGUAKTZS","Approved","Thu Jun 11 14:58:21 GMT 2009","Thu Jun 11 15:03:49 GMT 2009","Thu Jun 18 15:03:49 GMT 2009","Fri Jun 12 09:12:30 PDT 2009","","","328","urd-NG-102-174502-11516125-post45","932","5","دنيا کے نام نہاد منصفوں اور امن کے نام پر قتل وغارت گری کرنے والوں کو يہ بات اچھی طرح سمجھ لينی چاھيے کہ دنيا ميں امن صرف اور صرف انصاف دينے سے ھي قائم ھوسکتا ھے ناکہ نا انصافی اور نسل کشی سے۔","اگر نسل کشی سے ھی کسی قوم کو ختم کيا جا سکتا اوراپنی مرضی کے نتائج حاصل کيے جا سکتے تو ھٹلر کے اقدامات کے بعد يہوديوں کا نہ صرف وجود برقرار ھونا بلکہ ايک طرح کا عروج آج ناممکن ھوتا۔","بقول شاعر","ظلم پھرظلم ھے بڑھتا ھے تو مٹ جاتا ھے","خون پھرخون ھے گرتا ھے تو جم جاتا ھے","","","","","","","","","","","","","","","","","خون پھرخون ھے گرتا ھے تو جم جاتا ھے","All these world renowned leaders and people who murder innocents in the name of peace should realize that peace in the world can only be achieved by justice, and not through injustice or wiping entire races.","","","If killing a particular race off completely is the answer, then Hitler's plan would not have seen any jews survive, and definitely not seen their rise.","","","Says a poet","","Injustice is injustice. If it breeds, it dies.","","Blood is blood. If it bleeds, it dries.","دنيا کے نام نہاد منصفوں اور امن کے نام پر قتل وغارت گری کرنے والوں کو يہ بات اچھی طرح سمجھ لينی چاھيے کہ دنيا ميں امن صرف اور صرف انصاف دينے سے ھي قائم ھوسکتا ھے ناکہ نا انصافی اور نسل کشی سے۔","اگر نسل کشی سے ھی کسی قوم کو ختم کيا جا سکتا اوراپنی مرضی کے نتائج حاصل کيے جا سکتے تو ھٹلر کے اقدامات کے بعد يہوديوں کا نہ صرف وجود برقرار ھونا بلکہ ايک طرح کا عروج آج ناممکن ھوتا۔","بقول شاعر","ظلم پھرظلم ھے بڑھتا ھے تو مٹ جاتا ھے",""
"8G006GZCB0R4WPNCTA20","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","39","","8G006GZCB0R4WPNCTA2071GYV5SN6X6WTJZDHZAZ","A28E6Z78QJ2YZ6","Approved","Thu Jun 11 22:14:56 GMT 2009","Thu Jun 11 22:36:30 GMT 2009","Thu Jun 18 22:36:30 GMT 2009","Fri Jun 12 09:12:31 PDT 2009","","","1294","urd-NG-102-174502-11516154-post42","1079","5","اللہ کرے ہمارے ملک پاکستان پر کبھی بھی کوئی آنچ نہ آئے، آمين۔","مگر صاحب ذرا آنکھيں کھول کر اپنے ارد گرد کے حالات اور زمينی حقائق کو ديکھيں تو آپ کو نظر آجائے گا کہ امريکی افواج کہاں تک پہنچ گئی ہيں۔","اسکے علاوہ ملکی معاملات بھی درست نظر نہيں آرہے ہيں، سرحد، بلوچستان اور سندھ ميں کراچی کے حالات بھی آپ کے سامنے ہيں۔","ايسی صورتحال ميں ملک کو ايک ايسے ليڈر کی ضرورت ہے جو ہميں ايک متحد قوم بنا سکے۔","يا اللہ ہم پہ رحم فرما۔","","","","","","","","","","","","","","","","","يا اللہ ہم پہ رحم فرما۔","May God  our country Pakistan always be safed, ameen.","school,college","25 years","But,please open your eyes to look at  the situation and ground realities around you then  you will come to know that where American  troops have reached .","nothing","no","Besides the country matters do not seems better.The circumstances in NWFP, Baluchistan,and the situation of Karachi in Sindh, are also in front of you .","urdu","In this situation the country needs that leader who can make us a united nation.","uk","May God mercy upon us.","اللہ کرے ہمارے ملک پاکستان پر کبھی بھی کوئی آنچ نہ آئے، آمين۔","مگر صاحب ذرا آنکھيں کھول کر اپنے ارد گرد کے حالات اور زمينی حقائق کو ديکھيں تو آپ کو نظر آجائے گا کہ امريکی افواج کہاں تک پہنچ گئی ہيں۔","اسکے علاوہ ملکی معاملات بھی درست نظر نہيں آرہے ہيں، سرحد، بلوچستان اور سندھ ميں کراچی کے حالات بھی آپ کے سامنے ہيں۔","ايسی صورتحال ميں ملک کو ايک ايسے ليڈر کی ضرورت ہے جو ہميں ايک متحد قوم بنا سکے۔","1 year"
"8G006GZCB0R4WPNCTA20","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","39","","8G006GZCB0R4WPNCTA208Z8GPXYY3ZMZTQG2DWX0","A19RKOFKV2HYJX","Rejected","Tue Jun 09 15:16:42 GMT 2009","Tue Jun 09 15:27:42 GMT 2009","Tue Jun 16 15:27:42 GMT 2009","","2009/06/09 16:33:29 +0000","","660","urd-NG-102-174502-11516154-post42","1079","5","اللہ کرے ہمارے ملک پاکستان پر کبھی بھی کوئی آنچ نہ آئے، آمين۔","مگر صاحب ذرا آنکھيں کھول کر اپنے ارد گرد کے حالات اور زمينی حقائق کو ديکھيں تو آپ کو نظر آجائے گا کہ امريکی افواج کہاں تک پہنچ گئی ہيں۔","اسکے علاوہ ملکی معاملات بھی درست نظر نہيں آرہے ہيں، سرحد، بلوچستان اور سندھ ميں کراچی کے حالات بھی آپ کے سامنے ہيں۔","ايسی صورتحال ميں ملک کو ايک ايسے ليڈر کی ضرورت ہے جو ہميں ايک متحد قوم بنا سکے۔","يا اللہ ہم پہ رحم فرما۔","","","","","","","","","","","","","","","","","يا اللہ ہم پہ رحم فرما۔","May god never affect our country Pakistan.","n/a","n/a","Please be open about the facts on the situation, take notice of the warning signs that they will reach the troops.","online dictionary","yes","Besides the matters are not correct coming into NWFP Baluchistan and Sindh and the situation in Karachi is in front of you.","english","The winner in her country is spokes person, her ambition is to unite the nations.","england","Or, we have mercy on the form.","اللہ کرے ہمارے ملک پاکستان پر کبھی بھی کوئی آنچ نہ آئے، آمين۔","مگر صاحب ذرا آنکھيں کھول کر اپنے ارد گرد کے حالات اور زمينی حقائق کو ديکھيں تو آپ کو نظر آجائے گا کہ امريکی افواج کہاں تک پہنچ گئی ہيں۔","اسکے علاوہ ملکی معاملات بھی درست نظر نہيں آرہے ہيں، سرحد، بلوچستان اور سندھ ميں کراچی کے حالات بھی آپ کے سامنے ہيں۔","ايسی صورتحال ميں ملک کو ايک ايسے ليڈر کی ضرورت ہے جو ہميں ايک متحد قوم بنا سکے۔","n/a"
"9WPZKRH6T8JZ7S5VCWV0","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","0","","9WPZKRH6T8JZ7S5VCWV0ZZ58Z7NADYMRW0YT29Z0","ALRGHXUNH1UV7","Approved","Thu Jun 11 15:47:58 GMT 2009","Thu Jun 11 17:26:04 GMT 2009","Thu Jun 18 17:26:04 GMT 2009","Fri Jun 12 09:12:30 PDT 2009","","","5886","urd-WL-83-174268-11364081-post1","1459","5","مسلمانوں میں پیدا ہونے سے پہلے بات پکی کرنے کا رواج، جائیداد سمیٹنے کے نام پر قرآن سے شادی کرنے کا رواج، اور کئی مفتیوں کا اس بات پر اسرار کہ لڑکی آٹھ سال میں عاقل اور بالغ ہو جاتی ہے، ہی کم نہیں تھا، کہ ہندوستان میں مینڈک کے ساتھ لڑکی کی شادی خبر آ گئی۔","دلہا کی شادی کے موقع پر لی گئی تصویر دیکھیں۔","اسی سے کچھ عرصہ قبل ایک کتے کے ساتھ لڑکی کی شادی بھی تازہ ہو گئی۔","وہ دلہا بھی دیکھیں۔","انسانیت اکیسویں صدی میں بھی ناپید ہے۔","","","","","","","","","","","","","","","","","انسانیت اکیسویں صدی میں بھی ناپید ہے۔","The Muslims first thing to strong tradition in the name of gather, property from the Quran, married, and the custom of his many of the girl israr eight years old and adult in and was not, to India, with the girl in the marriage, news.","mother tounge","birth","See the pictures, that are taken in the grooms marriage","a dictionary","no","From on before a dog married a girl which is also freshed","urdu","They saw the groom too","india","Humanity in 21st century is extinguished","مسلمانوں میں پیدا ہونے سے پہلے بات پکی کرنے کا رواج، جائیداد سمیٹنے کے نام پر قرآن سے شادی کرنے کا رواج، اور کئی مفتیوں کا اس بات پر اسرار کہ لڑکی آٹھ سال میں عاقل اور بالغ ہو جاتی ہے، ہی کم نہیں تھا، کہ ہندوستان میں مینڈک کے ساتھ لڑکی کی شادی خبر آ گئی۔","دلہا کی شادی کے موقع پر لی گئی تصویر دیکھیں۔","اسی سے کچھ عرصہ قبل ایک کتے کے ساتھ لڑکی کی شادی بھی تازہ ہو گئی۔","وہ دلہا بھی دیکھیں۔","from schooling"
"RJ66V2GC93FZTWWJ6Y9Z","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","32","","RJ66V2GC93FZTWWJ6Y9Z29XZ3VZGYTYZ7NZZ18HZ","A2I57WW1B3EVWX","Approved","Tue Jun 09 15:07:43 GMT 2009","Tue Jun 09 19:58:21 GMT 2009","Tue Jun 16 19:58:21 GMT 2009","Tue Jun 09 13:08:04 PDT 2009","","","17438","urd-NG-102-174502-11516146-post77","1031","5","ميں تو صرف يہ پوچھنا چا ہو نگا کہ جب ايک پورے دن تک يہ لاش لٹکتی ری تو فوج والے کيا کر رہے تھے کيا وہ صرف عام لوگوں کو نشانہ بنانے کيلے وہاں بيھٹے ہيں جو بيان بھی کچھ اسطرح کرتے ہيں’طالبان کے ٹھکانوں پر بمباری، مکان پرگولہ گرنےسے 2 بچے اور انکی ماں ’ہلاک‘۔","کيا انہں اس چوک کے بارے ميں پتہ نہيں تھا؟","يا تماشہ ديکھ رہے تھے؟","ہم ہاتھ جوڑ کر منت اور التجا کرتے ہيں کہ خدا کيلیے يہ گيم بند کر ديجيے۔","آخر آپ کے اوپر بھی ايک حکمران ہيں۔","","","","","","","","","","","","","","","","","آخر آپ کے اوپر بھی ايک حکمران ہيں۔","what i only want to ask is when the body was hanging for a whole day what were the army doing were they there to only target civilians all they give their speeches is due to bombing Taliban tanks, there fell a bomb on house resulting death of two children and mother.","home","20","whether they dint know about this situation.","nothing","no","Or else having fun.","urdu","we fold our hands and request you to please end this game.","india","atlast above you also there is a master.","ميں تو صرف يہ پوچھنا چا ہو نگا کہ جب ايک پورے دن تک يہ لاش لٹکتی ری تو فوج والے کيا کر رہے تھے کيا وہ صرف عام لوگوں کو نشانہ بنانے کيلے وہاں بيھٹے ہيں جو بيان بھی کچھ اسطرح کرتے ہيں’طالبان کے ٹھکانوں پر بمباری، مکان پرگولہ گرنےسے 2 بچے اور انکی ماں ’ہلاک‘۔","کيا انہں اس چوک کے بارے ميں پتہ نہيں تھا؟","يا تماشہ ديکھ رہے تھے؟","ہم ہاتھ جوڑ کر منت اور التجا کرتے ہيں کہ خدا کيلیے يہ گيم بند کر ديجيے۔","15"
"JT3TGV1MFYTZ46Z2YZF0","1HKZZ2XF7YDYKSD8QA0Z","Urdu to English Translation","Translate 5 Urdu sentences into English","Urdu, English, translation, writing, research, JHU","$0.50","Tue Jun 09 04:21:16 GMT 2009","1","","25200","604800","Tue Jun 16 04:21:16 GMT 2009","31","","JT3TGV1MFYTZ46Z2YZF0YXMZT8DAZS0AYWZ5GXDZ","A2I57WW1B3EVWX","Approved","Tue Jun 09 16:13:43 GMT 2009","Tue Jun 09 20:59:36 GMT 2009","Tue Jun 16 20:59:36 GMT 2009","Tue Jun 09 14:03:14 PDT 2009","","","17153","urd-NG-102-174502-11516101-post94","776","5","اس تبدیلی سےجنوبی ایشیا پرکیا اثرپڑے گا اورکیا اس حوالےسےامریکی پالیسی میں معنی خیز تبدیلی کی توقع کی جا سکتی ہے۔","پاکستان اور امریکہ کے تعلقات پر یہ تبدیلی کیسےاثرانداز ہوگی۔","` (بی بی سي)","جنابِ من، اوباما ہو يا کوئی اور، پُوری دُنيا کی بابت پاليسی و تعلقات کی نوعيت کا تعين تو کھرب ہا پتي، با اثر، مضبوط اور اثر و رسوخ کی حامل يہودی لابی ہی کرتی ہے۔","اور جہاں تک پاکستان کا تعلق ہے، حاليہ ممبئی دھماکوں کے سلسلے ميں بھارت، اسرائيل اور امريکہ تکون کا جارحانہ رويہ پوری دنيا کے سامنے ہے۔","","","","","","","","","","","","","","","","","اور جہاں تک پاکستان کا تعلق ہے، حاليہ ممبئی دھماکوں کے سلسلے ميں بھارت، اسرائيل اور امريکہ تکون کا جارحانہ رويہ پوری دنيا کے سامنے ہے۔","Due to this change what would be effect on Asia due to this question whether there would be a change in american policies","home","20","What will be the effect of these changes on relationship between Pakistan and America","nothing","no","BBC","urdu","Whether its Mr Obama  or any other throught out the world","india","And whereas Pakistan is related recently on issue of bombings on mumbai . India, Israel and America have lost peace is in front of the world","اس تبدیلی سےجنوبی ایشیا پرکیا اثرپڑے گا اورکیا اس حوالےسےامریکی پالیسی میں معنی خیز تبدیلی کی توقع کی جا سکتی ہے۔","پاکستان اور امریکہ کے تعلقات پر یہ تبدیلی کیسےاثرانداز ہوگی۔","` (بی بی سي)","جنابِ من، اوباما ہو يا کوئی اور، پُوری دُنيا کی بابت پاليسی و تعلقات کی نوعيت کا تعين تو کھرب ہا پتي، با اثر، مضبوط اور اثر و رسوخ کی حامل يہودی لابی ہی کرتی ہے۔","15"
