worker,question,answer,truth,time
A1LZWU72K42V92,23,0,1,298
ASS4LIVDW452F,23,1,1,6
A2QAIIROYI52KO,23,1,1,96
A3PRX6CU0P34NE,23,1,1,175
A9KPCMO1J1LQF,23,1,1,7
A3PM8L29POUPBQ,23,1,1,19
AQRI1E9W5268O,23,1,1,5
A3PIAHR6PGXZNT,23,1,1,10
AF9OA6LYG27BX,23,1,1,5
A166A2M31CW2C7,23,1,1,8
A1FXXKSGZ7KVQI,23,1,1,89
A2C7UETA9SL9SK,23,1,1,9
A2FUMA4UR6S920,23,1,1,5
A1V6P1ZE6Q8YEW,23,1,1,609
A1NK6UXWXKFMC7,23,1,1,12
A11VJ9HVZPID81,23,1,1,150
ADMTRXEG43HU0,23,1,1,17
ABI0GL9ER3H1M,23,1,1,7
A3K43RI91Y567E,23,1,1,36
A24LUXW1DB1QI5,23,1,1,7
AJPQEZBVJXVE9,8223,0,0,13
A2TR0BG1WR2KJB,8223,0,0,42
A2QAIIROYI52KO,8223,0,0,222
AQRI1E9W5268O,8223,0,0,11
AR2V2N3U8JC96,8223,1,0,7
A1FXXKSGZ7KVQI,8223,0,0,181
A2RMJNF6IPI42F,8223,1,0,8
AF9OA6LYG27BX,8223,0,0,4
A109CH3492UU42,8223,0,0,202
A3PM8L29POUPBQ,8223,0,0,5
A26CQZGNV3GJXS,8223,0,0,199
A2V3P1XE33NYC3,8223,0,0,4
ADMTRXEG43HU0,8223,0,0,9
AHZJB4VTLFCJ6,8223,0,0,14
A3FHFGC3V9B3OJ,8223,0,0,8
A2AWDYE8TVVZMV,8223,0,0,14
A3TVDFJ22T1FFN,8223,0,0,29
A36LOA6VLJU157,8223,0,0,14
A2FUMA4UR6S920,8223,0,0,24
A166A2M31CW2C7,8223,0,0,10
A26CQZGNV3GJXS,8240,0,0,292
AF9OA6LYG27BX,8240,0,0,9
A3TVDFJ22T1FFN,8240,1,0,16
AW7J1S3K29XOA,8240,0,0,20
A166A2M31CW2C7,8240,0,0,6
ASS4LIVDW452F,8240,0,0,7
A23VQ6YY9YM32S,8240,0,0,5
A21D1EVLIOKUKO,8240,0,0,33
A3FHFGC3V9B3OJ,8240,0,0,13
A2USD3XJ7TU9Y7,8240,0,0,4
A1FXXKSGZ7KVQI,8240,0,0,231
A2V3P1XE33NYC3,8240,0,0,4
A3PIAHR6PGXZNT,8240,0,0,10
A1YQPOF381ZJRW,8240,1,0,4
AJPQEZBVJXVE9,8240,0,0,7
A2JUIW09ZP5KFS,8240,0,0,6
AANKP2NELIU8L,8240,1,0,5
ALQPGVQZEZSUE,8240,0,0,195
A2FUMA4UR6S920,8240,0,0,5
A2Q0G9Q633CN04,8240,0,0,5
AR2V2N3U8JC96,8252,0,0,3
ASS4LIVDW452F,8252,0,0,13
A2QAIIROYI52KO,8252,0,0,238
A2C57JVPIOH7F2,8252,0,0,15
A2JPOXYZM5AJZZ,8252,0,0,6
A1NK6UXWXKFMC7,8252,0,0,11
ALQPGVQZEZSUE,8252,0,0,241
A3DY78Q4FCWTXX,8252,0,0,6
A2V3P1XE33NYC3,8252,0,0,4
A25COC9WM9XVME,8252,0,0,6
A19BMRBO5UAD6H,8252,0,0,8
AQRI1E9W5268O,8252,0,0,4
ANMWPCK7TJMZ8,8252,0,0,42
A15HVZVDQAD0UJ,8252,0,0,40
A2USD3XJ7TU9Y7,8252,0,0,21
A1X0WT0A91ZCIH,8252,0,0,15
AF9OA6LYG27BX,8252,0,0,3
A9KPCMO1J1LQF,8252,0,0,3
A3PAKT8TH3N2ZZ,8252,0,0,45
A3FHFGC3V9B3OJ,8252,0,0,10
A3TVDFJ22T1FFN,64,1,1,20
A3DLWGA9J3LU3H,64,0,1,13
A19BMRBO5UAD6H,64,1,1,7
ADMTRXEG43HU0,64,1,1,6
A2FUMA4UR6S920,64,1,1,8
A2V3P1XE33NYC3,64,1,1,4
AOAZMLP27GD81,64,1,1,11
AR2V2N3U8JC96,64,0,1,5
AJPQEZBVJXVE9,64,1,1,6
A2RMJNF6IPI42F,64,1,1,5
A3PM8L29POUPBQ,64,1,1,5
A1NK6UXWXKFMC7,64,1,1,6
A2VTRIPL7H0IZH,64,1,1,9
A2C7UETA9SL9SK,64,1,1,7
A3FHFGC3V9B3OJ,64,1,1,9
A2S96ZZ70YFPSK,64,1,1,391
A3PAKT8TH3N2ZZ,64,1,1,25
A1FXXKSGZ7KVQI,64,1,1,174
AD5IKFAK8KN4P,64,1,1,12
A3PIAHR6PGXZNT,64,1,1,7
A36SM7QM8OK3H6,68,1,1,12
A3FHFGC3V9B3OJ,68,1,1,8
AF9OA6LYG27BX,68,1,1,11
A2C7UETA9SL9SK,68,1,1,8
A20X14OMRL0YPZ,68,1,1,16
A9KPCMO1J1LQF,68,1,1,8
A2FUMA4UR6S920,68,1,1,11
AQRI1E9W5268O,68,1,1,6
ACCXC5V05C9R9,68,1,1,10
A3PRX6CU0P34NE,68,1,1,63
A1FXXKSGZ7KVQI,68,1,1,109
A2AWDYE8TVVZMV,68,1,1,7
AJPQEZBVJXVE9,68,1,1,8
A15HVZVDQAD0UJ,68,1,1,10
A3O81LHBBI8NPK,68,1,1,17
A2QYPEWPAGGKLQ,68,1,1,10
A2V3P1XE33NYC3,68,1,1,6
ADMTRXEG43HU0,68,0,1,26
A3PM8L29POUPBQ,68,1,1,4
A19BMRBO5UAD6H,68,1,1,7
AF9OA6LYG27BX,98,1,1,5
AQRI1E9W5268O,98,1,1,4
A2USD3XJ7TU9Y7,98,1,1,5
A3PIAHR6PGXZNT,98,1,1,7
A1OIXGF4N7O93T,98,1,1,7
A2V3P1XE33NYC3,98,1,1,4
ADMTRXEG43HU0,98,1,1,7
AJPQEZBVJXVE9,98,1,1,4
A36SM7QM8OK3H6,98,1,1,9
AR2V2N3U8JC96,98,1,1,4
A1Z048705962W6,98,1,1,6
ASRI4XGCPE999,98,1,1,6
A19BMRBO5UAD6H,98,1,1,6
A7PEG6BU5QH3P,98,1,1,17
A2JPOXYZM5AJZZ,98,1,1,31
A769WXAR6I8QU,98,1,1,6
A1UUNYHX3M8O3O,98,1,1,4
AUJHICRFNP62C,98,1,1,9
A2AWDYE8TVVZMV,98,1,1,6
A24LUXW1DB1QI5,98,1,1,6
AQRI1E9W5268O,103,1,1,4
