question,worker,answer
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A1253FXHCZ9CWM,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A153PKAL7OAY36,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A1JTOT0DWM6QGL,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A31OCN4MNHUQ6W,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A28ZHJ9ASQ49IY,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,AVWJPWUEE3U4Q,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A25LQC7UPMAADF,1
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A3CVCNNNRNO03T,4
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A4X14HN0F6KVW,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,A21T6EF3XC7UMT,1
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A1253FXHCZ9CWM,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A153PKAL7OAY36,3
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A22C0PJUBFJTI0,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A31OCN4MNHUQ6W,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A35GER5TWMH9VP,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A3JMQDTEKRE5X6,1
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A3220HG1O83HQ4,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,AVWJPWUEE3U4Q,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,APYV9Y0DFZFVP,2
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,A3CVCNNNRNO03T,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,A1253FXHCZ9CWM,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,A153PKAL7OAY36,4
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,A31OCN4MNHUQ6W,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,A1XFA0A9Z3LAZJ,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,A21A79J5ZWD42K,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,AZSDW7JJL5VA7,3
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,AJSJVK40F5HM6,4
