question,worker,answer
335,1,0
335,9,1
335,16,2
335,20,0
335,21,0
335,28,0
335,35,3
335,36,1
335,37,1
335,61,0
290,1,1
290,3,2
290,7,3
290,12,0
290,13,3
290,16,1
290,21,1
290,22,0
290,29,1
290,45,3
369,1,2
369,5,1
369,14,0
369,16,2
369,23,2
369,34,2
369,35,2
369,37,2
369,85,0
369,88,2
263,1,0
263,13,0
263,16,2
263,20,3
263,37,0
263,40,0
263,41,0
263,43,1
263,62,0
263,81,0
718,1,2
718,9,1
718,12,2
718,13,2
718,16,0
718,22,2
718,25,2
718,31,3
718,34,2
718,58,2
2,1,2
2,3,2
2,9,1
2,11,2
2,12,0
2,13,2
2,14,0
2,15,0
2,16,2
2,17,2
78,1,3
78,9,3
78,10,3
78,16,0
78,20,3
78,21,3
78,22,3
78,29,3
78,30,2
78,43,0
128,1,3
128,2,1
128,3,2
128,12,3
128,13,3
128,20,2
128,28,2
128,35,3
128,44,1
128,47,3
602,1,2
602,3,2
602,10,2
602,11,1
602,13,2
602,17,2
602,20,2
602,49,2
602,56,2
602,80,2
304,1,1
304,2,0
304,16,3
304,17,3
304,23,0
304,29,1
304,31,2
304,61,0
304,90,1
304,97,1
110,1,2
110,3,2
110,9,0
110,21,2
110,22,2
110,35,2
110,45,3
110,55,2
110,56,1
110,61,0
185,1,3
185,12,0
185,20,3
185,21,3
185,25,1
185,31,3
185,35,2
185,43,0
185,55,1
185,60,3
310,1,1
310,13,1
310,22,1
310,23,2
310,27,1
310,34,1
310,36,3
310,43,1
310,45,1
310,63,1
574,1,0
574,14,0
574,20,1
574,21,0
574,25,0
574,27,0
574,28,0
574,30,3
574,43,2
574,56,3
370,1,3
370,9,3
370,16,3
370,20,3
370,23,0
370,35,1
370,37,3
370,53,3
370,58,0
370,66,3
553,1,2
553,2,3
553,5,2
553,28,2
553,43,2
553,44,2
553,50,2
553,54,2
553,61,2
553,99,2
118,1,2
118,8,2
118,16,3
118,20,2
118,23,3
118,25,2
118,28,1
118,29,2
118,34,2
118,53,2
164,1,3
164,14,1
164,20,3
164,29,3
164,30,1
164,31,0
164,41,3
164,56,1
164,58,2
164,89,1
477,1,0
477,9,2
477,13,0
477,17,0
477,20,0
477,27,0
477,29,0
477,41,3
477,43,0
477,66,3
250,1,3
250,3,3
250,29,3
250,35,3
250,39,1
250,40,1
250,43,3
250,73,3
250,83,3
250,90,3
259,1,2
259,7,2
259,9,3
259,13,2
259,34,3
259,37,2
259,56,0
259,58,2
259,62,2
259,98,2
155,1,2
155,2,1
155,3,2
155,4,2
155,10,1
155,15,2
155,22,2
155,23,3
155,40,2
155,61,3
562,1,1
562,4,1
562,13,1
562,16,1
562,21,1
562,22,1
562,37,3
562,40,3
562,43,1
562,48,1
383,1,1
383,10,3
383,34,1
383,39,0
383,40,1
383,44,3
383,47,0
383,48,1
383,79,1
383,102,0
12,1,1
12,2,1
12,4,0
12,8,1
12,10,1
12,26,0
12,31,3
12,34,0
12,43,1
12,50,1
308,1,1
308,4,1
308,6,1
308,13,1
308,16,3
308,23,0
308,31,1
308,50,1
308,72,1
308,90,3
595,1,3
595,12,3
595,13,1
595,20,3
595,21,3
595,32,3
595,35,3
595,50,3
595,58,3
595,59,1
328,1,3
328,3,3
328,8,3
328,10,1
328,16,3
328,23,2
328,34,3
328,53,3
328,62,3
328,74,3
242,1,2
242,3,2
242,8,2
242,13,2
242,31,3
242,34,3
242,35,2
242,37,2
242,40,1
242,43,0
563,1,0
563,6,0
563,10,0
563,14,3
563,16,0
563,25,2
563,34,2
563,45,0
563,47,0
563,61,1
380,1,0
380,3,0
380,9,2
380,13,3
380,21,0
380,37,0
380,41,0
380,43,0
380,56,3
380,63,0
518,1,2
518,2,1
518,9,1
