question,worker,answer
408,A1VW9W0DWXCPYE,1
408,A3NU1SQPI1NXY4,0
408,AKBP92VUQ7G3,2
408,ATQWZNGQCN1RA,0
408,A2H321P1NSEW35,2
408,A2V3P1XE33NYC3,3
408,A2UFD1I8ZO1V4G,1
408,AD317NO9623GZ,2
408,A3E157ZN8XPUKJ,1
87,A1VW9W0DWXCPYE,0
87,A3NU1SQPI1NXY4,3
87,AKBP92VUQ7G3,0
87,ATQWZNGQCN1RA,1
87,A2V3P1XE33NYC3,0
87,A2UFD1I8ZO1V4G,1
87,AD317NO9623GZ,3
87,A1PAR1TMKFPKQE,3
87,A3E157ZN8XPUKJ,3
496,A1VW9W0DWXCPYE,2
496,A3NU1SQPI1NXY4,1
496,AKBP92VUQ7G3,2
496,ATQWZNGQCN1RA,3
496,A2V3P1XE33NYC3,3
496,A2UFD1I8ZO1V4G,2
496,AD317NO9623GZ,1
496,A1PAR1TMKFPKQE,2
496,A53VNQRRFQ785,2
393,A1VW9W0DWXCPYE,1
393,A3NU1SQPI1NXY4,1
393,AKBP92VUQ7G3,0
393,ATQWZNGQCN1RA,2
393,A2V3P1XE33NYC3,1
393,A2UFD1I8ZO1V4G,1
393,AD317NO9623GZ,3
393,A1PAR1TMKFPKQE,1
393,A3E157ZN8XPUKJ,3
197,A1VW9W0DWXCPYE,3
197,A3NU1SQPI1NXY4,2
197,AKBP92VUQ7G3,0
197,ATQWZNGQCN1RA,2
197,A2V3P1XE33NYC3,2
197,A2UFD1I8ZO1V4G,0
197,AD317NO9623GZ,2
197,AWRAXV1RIYR0M,1
197,A1PAR1TMKFPKQE,1
494,A1VW9W0DWXCPYE,3
494,A3NU1SQPI1NXY4,2
494,AKBP92VUQ7G3,3
494,ATQWZNGQCN1RA,0
494,A2V3P1XE33NYC3,2
494,A2UFD1I8ZO1V4G,1
494,AD317NO9623GZ,3
494,A1PAR1TMKFPKQE,3
494,A53VNQRRFQ785,2
423,A1VW9W0DWXCPYE,1
423,A3NU1SQPI1NXY4,3
423,AKBP92VUQ7G3,3
423,ATQWZNGQCN1RA,1
423,A2V3P1XE33NYC3,1
423,A2UFD1I8ZO1V4G,0
423,AD317NO9623GZ,1
423,A3GLUDQZGEJL5G,3
423,A1KZOLS51I9SS7,1
443,A1VW9W0DWXCPYE,1
443,A3NU1SQPI1NXY4,3
443,AKBP92VUQ7G3,1
443,ATQWZNGQCN1RA,2
443,A2V3P1XE33NYC3,1
443,A2UFD1I8ZO1V4G,3
443,AD317NO9623GZ,0
443,A3E157ZN8XPUKJ,1
443,A1BHMDRWW9ZYSO,2
507,A1VW9W0DWXCPYE,0
507,A3NU1SQPI1NXY4,1
507,AKBP92VUQ7G3,0
507,ATQWZNGQCN1RA,3
507,A2V3P1XE33NYC3,0
507,A2UFD1I8ZO1V4G,0
507,AD317NO9623GZ,0
507,A1PAR1TMKFPKQE,0
507,A1BHMDRWW9ZYSO,3
235,A1VW9W0DWXCPYE,1
235,A3NU1SQPI1NXY4,3
235,AKBP92VUQ7G3,1
235,ATQWZNGQCN1RA,1
235,A2H321P1NSEW35,1
235,A2V3P1XE33NYC3,1
235,A2UFD1I8ZO1V4G,3
235,AD317NO9623GZ,1
235,A3E157ZN8XPUKJ,1
272,A1VW9W0DWXCPYE,0
272,A3NU1SQPI1NXY4,1
272,AKBP92VUQ7G3,0
272,ATQWZNGQCN1RA,0
272,A2V3P1XE33NYC3,2
272,A2UFD1I8ZO1V4G,0
272,AD317NO9623GZ,0
272,A36JZTUKQVV5S5,0
272,A1BHMDRWW9ZYSO,2
341,A1VW9W0DWXCPYE,2
341,A3NU1SQPI1NXY4,2
341,AKBP92VUQ7G3,2
341,ATQWZNGQCN1RA,2
341,A2H321P1NSEW35,2
341,A2F0X4LN9N4O4C,0
341,A2V3P1XE33NYC3,1
341,A2UFD1I8ZO1V4G,1
341,AD317NO9623GZ,3
525,A1VW9W0DWXCPYE,0
525,A3NU1SQPI1NXY4,0
525,AKBP92VUQ7G3,3
525,ATQWZNGQCN1RA,0
525,A2V3P1XE33NYC3,0
525,A2UFD1I8ZO1V4G,0
525,AD317NO9623GZ,0
525,A3E157ZN8XPUKJ,0
525,A3GLUDQZGEJL5G,3
524,A1VW9W0DWXCPYE,0
524,A3NU1SQPI1NXY4,2
524,AKBP92VUQ7G3,0
524,ATQWZNGQCN1RA,2
524,A2H321P1NSEW35,2
524,A2V3P1XE33NYC3,1
524,A2UFD1I8ZO1V4G,3
524,AD317NO9623GZ,2
524,A1C0Z73809FFDZ,1
519,A1VW9W0DWXCPYE,0
519,A3NU1SQPI1NXY4,0
519,AKBP92VUQ7G3,0
519,ATQWZNGQCN1RA,2
519,A2V3P1XE33NYC3,2
519,A2UFD1I8ZO1V4G,0
519,AD317NO9623GZ,0
519,A1PAR1TMKFPKQE,0
519,A3E157ZN8XPUKJ,0
503,A1VW9W0DWXCPYE,3
503,A3NU1SQPI1NXY4,1
503,AKBP92VUQ7G3,1
503,ATQWZNGQCN1RA,3
503,A2V3P1XE33NYC3,0
503,A2UFD1I8ZO1V4G,3
503,AD317NO9623GZ,1
503,A1PAR1TMKFPKQE,2
503,A3E157ZN8XPUKJ,3
520,A1VW9W0DWXCPYE,2
520,A3NU1SQPI1NXY4,3
520,AKBP92VUQ7G3,2
520,ATQWZNGQCN1RA,2
520,A2V3P1XE33NYC3,3
520,A2UFD1I8ZO1V4G,3
520,AD317NO9623GZ,1
520,A1PAR1TMKFPKQE,2
520,A3E157ZN8XPUKJ,2
279,A1VW9W0DWXCPYE,3
279,A3NU1SQPI1NXY4,2
279,AKBP92VUQ7G3,3
279,ATQWZNGQCN1RA,3
279,A2V3P1XE33NYC3,2
279,A2UFD1I8ZO1V4G,0
279,AD317NO9623GZ,0
279,AM2W23THD4CI7,3
279,A53VNQRRFQ785,0
88,A1VW9W0DWXCPYE,2
88,A3NU1SQPI1NXY4,3
88,AKBP92VUQ7G3,1
88,ATQWZNGQCN1RA,1
88,A2V3P1XE33NYC3,3
88,A2UFD1I8ZO1V4G,0
88,AD317NO9623GZ,1
88,A1PAR1TMKFPKQE,2
88,A3E157ZN8XPUKJ,2
265,A1VW9W0DWXCPYE,1
