question,worker,answer
4171,A1LZWU72K42V92,1
4171,ASS4LIVDW452F,0
4171,A3PM8L29POUPBQ,0
4171,AQRI1E9W5268O,1
4171,AF9OA6LYG27BX,0
4171,A1FXXKSGZ7KVQI,0
4171,A2C7UETA9SL9SK,0
4171,A3K43RI91Y567E,1
4171,A24LUXW1DB1QI5,0
4171,AJPQEZBVJXVE9,0
4171,AR2V2N3U8JC96,0
4171,A2RMJNF6IPI42F,0
4171,A2V3P1XE33NYC3,0
4171,AHZJB4VTLFCJ6,1
4171,ALQPGVQZEZSUE,0
4171,A2Q0G9Q633CN04,0
4171,A1OIXGF4N7O93T,0
4171,A32H5INU9CYMCI,0
4171,ADVKHM8P51FSQ,1
4171,A1WY3YGT618GC0,0
8855,A1LZWU72K42V92,0
8855,A3PM8L29POUPBQ,0
8855,AF9OA6LYG27BX,1
8855,A166A2M31CW2C7,0
8855,A2C7UETA9SL9SK,1
8855,AR2V2N3U8JC96,1
8855,A2RMJNF6IPI42F,1
8855,A2V3P1XE33NYC3,1
8855,A3FHFGC3V9B3OJ,0
8855,A2AWDYE8TVVZMV,0
8855,A23VQ6YY9YM32S,1
8855,A2JPOXYZM5AJZZ,0
8855,A3DY78Q4FCWTXX,0
8855,A15HVZVDQAD0UJ,1
8855,A3O81LHBBI8NPK,0
8855,A2QYPEWPAGGKLQ,0
8855,A1OIXGF4N7O93T,0
8855,A1Z048705962W6,1
8855,A1UUNYHX3M8O3O,1
8855,A2XC4HFAFB1FRP,1
1257,A1LZWU72K42V92,1
1257,A2QAIIROYI52KO,0
1257,A3PIAHR6PGXZNT,1
1257,AF9OA6LYG27BX,0
1257,A166A2M31CW2C7,1
1257,A1FXXKSGZ7KVQI,1
1257,A2C7UETA9SL9SK,1
1257,A2FUMA4UR6S920,1
1257,AR2V2N3U8JC96,0
1257,A2V3P1XE33NYC3,0
1257,A2AWDYE8TVVZMV,0
1257,A2USD3XJ7TU9Y7,0
1257,A1YQPOF381ZJRW,1
1257,ALQPGVQZEZSUE,0
1257,A36SM7QM8OK3H6,0
1257,A3O81LHBBI8NPK,1
1257,A769WXAR6I8QU,1
1257,A1HZJEDSWRG10C,1
1257,A32H5INU9CYMCI,0
1257,ACVEFRSUAPSEQ,1
9149,A1LZWU72K42V92,0
9149,ASS4LIVDW452F,1
9149,A9KPCMO1J1LQF,1
9149,A3PIAHR6PGXZNT,0
9149,A2FUMA4UR6S920,0
9149,A3K43RI91Y567E,0
