question,worker,answer
43_3,A2HTGQE4AACVRV,1
43_3,AYHHOK9GDSWNH,1
43_3,A1QRQZWBL1SVEX,2
43_3,A3G0MGLBT484I1,2
43_3,A7NC1H5ZK7TO0,1
43_3,A3MPXWFMR0Y2LK,1
43_3,A11GX90QFWDLMM,2
43_3,A3PIXX8DQGYHGI,2
43_3,A2KONK3TIL5KVX,1
43_3,A18941IO2ZZWW6,2
43_2,A2HTGQE4AACVRV,1
43_2,AYHHOK9GDSWNH,1
43_2,A1QRQZWBL1SVEX,2
43_2,A3G0MGLBT484I1,1
43_2,A7NC1H5ZK7TO0,1
43_2,A3MPXWFMR0Y2LK,1
43_2,A11GX90QFWDLMM,2
43_2,A3PIXX8DQGYHGI,1
43_2,A2KONK3TIL5KVX,1
43_2,A18941IO2ZZWW6,1
41_4,A2HTGQE4AACVRV,2
41_4,AYHHOK9GDSWNH,2
41_4,A1QRQZWBL1SVEX,2
41_4,A3G0MGLBT484I1,2
41_4,A7NC1H5ZK7TO0,1
41_4,A3MPXWFMR0Y2LK,1
41_4,A11GX90QFWDLMM,1
41_4,A3PIXX8DQGYHGI,2
41_4,A2KONK3TIL5KVX,2
41_4,A18941IO2ZZWW6,1
42_4,A2HTGQE4AACVRV,1
42_4,AYHHOK9GDSWNH,1
42_4,A1QRQZWBL1SVEX,1
42_4,A3G0MGLBT484I1,1
42_4,A7NC1H5ZK7TO0,2
42_4,A3MPXWFMR0Y2LK,1
42_4,A11GX90QFWDLMM,1
42_4,A3PIXX8DQGYHGI,1
42_4,A2KONK3TIL5KVX,1
42_4,A18941IO2ZZWW6,1
42_1,A2HTGQE4AACVRV,1
42_1,AYHHOK9GDSWNH,1
42_1,A1QRQZWBL1SVEX,1
42_1,A3G0MGLBT484I1,1
42_1,A7NC1H5ZK7TO0,1
42_1,A3MPXWFMR0Y2LK,1
42_1,A11GX90QFWDLMM,1
42_1,A3PIXX8DQGYHGI,1
42_1,A2KONK3TIL5KVX,1
42_1,A18941IO2ZZWW6,1
42_0,A2HTGQE4AACVRV,2
42_0,AYHHOK9GDSWNH,1
42_0,A1QRQZWBL1SVEX,2
42_0,A3G0MGLBT484I1,2
42_0,A7NC1H5ZK7TO0,2
42_0,A3MPXWFMR0Y2LK,1
42_0,A11GX90QFWDLMM,2
42_0,A3PIXX8DQGYHGI,1
42_0,A2KONK3TIL5KVX,2
42_0,A18941IO2ZZWW6,2
43_4,A2HTGQE4AACVRV,2
43_4,AYHHOK9GDSWNH,1
43_4,A1QRQZWBL1SVEX,1
43_4,A3G0MGLBT484I1,2
43_4,A7NC1H5ZK7TO0,2
43_4,A3MPXWFMR0Y2LK,2
43_4,A11GX90QFWDLMM,2
43_4,A3PIXX8DQGYHGI,1
43_4,A2KONK3TIL5KVX,1
43_4,A18941IO2ZZWW6,2
42_2,A2HTGQE4AACVRV,2
42_2,AYHHOK9GDSWNH,2
42_2,A1QRQZWBL1SVEX,2
42_2,A3G0MGLBT484I1,2
42_2,A7NC1H5ZK7TO0,2
42_2,A3MPXWFMR0Y2LK,2
42_2,A11GX90QFWDLMM,1
42_2,A3PIXX8DQGYHGI,2
42_2,A2KONK3TIL5KVX,2
42_2,A18941IO2ZZWW6,2
43_6,A2HTGQE4AACVRV,2
43_6,AYHHOK9GDSWNH,2
43_6,A1QRQZWBL1SVEX,2
43_6,A3G0MGLBT484I1,2
43_6,A7NC1H5ZK7TO0,2
43_6,A3MPXWFMR0Y2LK,2
43_6,A11GX90QFWDLMM,2
43_6,A3PIXX8DQGYHGI,1
43_6,A2KONK3TIL5KVX,2
43_6,A18941IO2ZZWW6,2
41_3,A2HTGQE4AACVRV,2
41_3,AYHHOK9GDSWNH,2
41_3,A1QRQZWBL1SVEX,2
41_3,A3G0MGLBT484I1,2
41_3,A7NC1H5ZK7TO0,1
41_3,A3MPXWFMR0Y2LK,2
41_3,A11GX90QFWDLMM,2
41_3,A3PIXX8DQGYHGI,1
41_3,A2KONK3TIL5KVX,2
41_3,A18941IO2ZZWW6,1
34_6,AYHHOK9GDSWNH,2
34_6,A3G0MGLBT484I1,2
34_6,A11GX90QFWDLMM,1
34_6,A3PIXX8DQGYHGI,2
34_6,A2KONK3TIL5KVX,1
34_6,A18941IO2ZZWW6,1
34_6,A18WNE09USHJSG,1
34_6,A3J0VZOPOGW1QC,1
34_6,AUPV5WJK85K4F,2
34_6,AEU1NROWHLIJF,1
81_11,AYHHOK9GDSWNH,1
81_11,A11GX90QFWDLMM,1
81_11,A3PIXX8DQGYHGI,2
81_11,A18941IO2ZZWW6,2
81_11,AUPV5WJK85K4F,2
81_11,A1UV8TD7KO88IM,1
81_11,A2GLG8R57PVEQU,2
81_11,A32IZC32FQKVRX,1
81_11,A2VH5LBZ5S5IBL,2
81_11,A2B6ZPXXMJB1B1,1
51_3,AYHHOK9GDSWNH,2
51_3,A3G0MGLBT484I1,1
51_3,A11GX90QFWDLMM,2
51_3,A3PIXX8DQGYHGI,2
51_3,A2KONK3TIL5KVX,1
51_3,A18941IO2ZZWW6,1
51_3,A18WNE09USHJSG,1
51_3,AUPV5WJK85K4F,1
51_3,A2VKPMR5HCCZF5,1
51_3,A3BD4NONKGONRM,1
107_6,AYHHOK9GDSWNH,1
107_6,A3G0MGLBT484I1,2
107_6,A11GX90QFWDLMM,2
107_6,A3PIXX8DQGYHGI,2
107_6,A18941IO2ZZWW6,2
107_6,A5C6BAAHFTJFP,2
107_6,A18WNE09USHJSG,2
107_6,AUPV5WJK85K4F,1
107_6,AXTU992Z7V3ZX,2
107_6,AEX5NCH03LWSG,1
107_7,AYHHOK9GDSWNH,1
107_7,A3G0MGLBT484I1,1
107_7,A11GX90QFWDLMM,1
107_7,A3PIXX8DQGYHGI,2
107_7,A18941IO2ZZWW6,2
107_7,A5C6BAAHFTJFP,1
107_7,A18WNE09USHJSG,2
107_7,AUPV5WJK85K4F,2
107_7,AXTU992Z7V3ZX,1
107_7,AEX5NCH03LWSG,2
11_0,AYHHOK9GDSWNH,2
11_0,A3G0MGLBT484I1,1
11_0,A11GX90QFWDLMM,1
11_0,A3PIXX8DQGYHGI,1
11_0,A18941IO2ZZWW6,1
11_0,A5C6BAAHFTJFP,1
11_0,A18WNE09USHJSG,1
11_0,A3J0VZOPOGW1QC,1
11_0,AUPV5WJK85K4F,1
11_0,A1PBRFFOTO5ZU6,1
173_0,AYHHOK9GDSWNH,2
173_0,A3G0MGLBT484I1,1
173_0,A3MPXWFMR0Y2LK,1
173_0,A11GX90QFWDLMM,2
173_0,A3PIXX8DQGYHGI,1
173_0,A18941IO2ZZWW6,1
173_0,A18WNE09USHJSG,1
173_0,AUPV5WJK85K4F,1
173_0,A2O6FTKXAJGRSQ,1
173_0,A1123L7ANYUTG0,2
51_19,AYHHOK9GDSWNH,1
51_19,A3G0MGLBT484I1,1
51_19,A11GX90QFWDLMM,1
51_19,A3PIXX8DQGYHGI,2
51_19,A18941IO2ZZWW6,1
51_19,A18WNE09USHJSG,2
51_19,AUPV5WJK85K4F,2
51_19,A2G80S3EM9SDBD,2
51_19,A16QMNGIR7N53M,2
51_19,AF9RXZRI2WUNQ,2
157_12,AYHHOK9GDSWNH,2
157_12,A3G0MGLBT484I1,1
157_12,A3MPXWFMR0Y2LK,2
157_12,A11GX90QFWDLMM,1
157_12,A3PIXX8DQGYHGI,2
157_12,A18941IO2ZZWW6,1
157_12,AUPV5WJK85K4F,2
157_12,A2G80S3EM9SDBD,1
157_12,A3BD4NONKGONRM,2
157_12,A2MIF2GUSZLJ0X,2
123_14,AYHHOK9GDSWNH,1
123_14,A3G0MGLBT484I1,1
123_14,A11GX90QFWDLMM,2
123_14,A3PIXX8DQGYHGI,1
123_14,A18941IO2ZZWW6,2
123_14,A5C6BAAHFTJFP,1
123_14,A18WNE09USHJSG,2
123_14,AUPV5WJK85K4F,2
123_14,AEX5NCH03LWSG,1
123_14,A1UV8TD7KO88IM,1
20_0,AYHHOK9GDSWNH,2
20_0,A3G0MGLBT484I1,1
20_0,A3MPXWFMR0Y2LK,1
20_0,A11GX90QFWDLMM,2
20_0,A3PIXX8DQGYHGI,1
20_0,A2KONK3TIL5KVX,2
20_0,A18941IO2ZZWW6,2
20_0,A2G80S3EM9SDBD,1
20_0,A1KFIQBETMB81I,1
20_0,A7R1L4ZYYPOZM,1
123_10,AYHHOK9GDSWNH,2
123_10,A3G0MGLBT484I1,2
123_10,A3MPXWFMR0Y2LK,1
123_10,A11GX90QFWDLMM,2
123_10,A3PIXX8DQGYHGI,1
123_10,A18941IO2ZZWW6,1
123_10,AUPV5WJK85K4F,1
123_10,A1GR4JB3DODIQ1,2
123_10,AA5CLQLMVT5GA,1
123_10,A9K43JFO379YG,1
103_15,AYHHOK9GDSWNH,1
103_15,A3G0MGLBT484I1,2
103_15,A3MPXWFMR0Y2LK,2
103_15,A11GX90QFWDLMM,2
103_15,A3PIXX8DQGYHGI,1
103_15,A18941IO2ZZWW6,2
103_15,AUPV5WJK85K4F,2
103_15,A2GLG8R57PVEQU,2
103_15,A2MIF2GUSZLJ0X,2
103_15,A3G3JWL19SBHCH,2
6_5,AYHHOK9GDSWNH,1
6_5,A3G0MGLBT484I1,2
6_5,A3MPXWFMR0Y2LK,1
6_5,A11GX90QFWDLMM,2
6_5,A18941IO2ZZWW6,2
6_5,AUPV5WJK85K4F,2
6_5,A1PBRFFOTO5ZU6,2
6_5,A2G80S3EM9SDBD,2
6_5,A3BD4NONKGONRM,2
6_5,A17743NDSCO8P5,2
166_16,AYHHOK9GDSWNH,1
166_16,A3G0MGLBT484I1,2
166_16,A11GX90QFWDLMM,1
166_16,A3PIXX8DQGYHGI,2
166_16,A18941IO2ZZWW6,2
166_16,A18WNE09USHJSG,2
166_16,AUPV5WJK85K4F,2
166_16,A2VKPMR5HCCZF5,2
166_16,AZE6KLDFEXBM0,1
166_16,A1IYVTS4ZVIGSE,2
81_1,AYHHOK9GDSWNH,1
81_1,A11GX90QFWDLMM,2
81_1,A3PIXX8DQGYHGI,1
81_1,A18941IO2ZZWW6,2
81_1,AUPV5WJK85K4F,2
81_1,A1UV8TD7KO88IM,2
81_1,A2GLG8R57PVEQU,2
81_1,A32IZC32FQKVRX,1
81_1,A2VH5LBZ5S5IBL,2
81_1,A2B6ZPXXMJB1B1,1
