question,worker,answer
7,0,0
7,1,0
7,2,1
7,3,0
7,4,1
7,5,0
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,13,1
7,14,0
7,15,0
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,0
7,22,1
7,23,1
7,24,0
7,25,0
7,26,0
7,27,0
7,28,1
7,29,0
7,30,0
7,31,1
7,32,0
7,33,1
7,34,1
7,35,0
7,36,0
7,37,1
7,38,1
88,0,1
88,1,0
88,2,1
88,3,0
88,4,0
88,5,1
88,6,0
88,7,0
88,8,0
88,9,0
88,10,0
88,11,0
88,12,1
88,13,0
88,14,1
88,15,0
88,16,0
88,17,0
88,18,0
88,19,0
88,20,0
88,21,0
88,22,0
88,23,0
88,24,1
88,25,0
88,26,0
88,27,0
88,28,0
88,29,0
88,30,0
88,31,0
88,32,1
88,33,0
88,34,0
88,35,1
88,36,0
88,37,0
88,38,1
46,0,0
46,1,0
46,2,1
46,3,1
46,4,1
46,5,0
46,6,1
46,7,0
46,8,1
46,9,1
46,10,1
46,11,1
46,12,1
46,13,1
46,14,0
46,15,1
46,16,1
46,17,1
46,18,1
46,19,1
46,20,1
46,21,1
46,22,1
46,23,0
46,24,0
46,25,1
46,26,1
46,27,1
46,28,1
46,29,1
46,30,1
46,31,0
46,32,0
46,33,1
46,34,1
46,35,1
46,36,1
46,37,1
46,38,0
89,0,1
89,1,1
89,2,0
89,3,1
89,4,0
89,5,1
89,6,0
89,7,0
89,8,0
89,9,0
89,10,0
89,11,0
89,12,1
89,13,1
89,14,0
89,15,0
89,16,0
89,17,0
89,18,0
89,19,0
89,20,0
89,21,0
89,22,0
89,23,0
89,24,0
89,25,0
89,26,0
89,27,0
89,28,0
89,29,1
89,30,0
89,31,0
89,32,1
89,33,0
89,34,0
89,35,1
89,36,0
89,37,0
89,38,1
57,0,0
57,1,1
57,2,1
57,3,1
57,4,1
57,5,0
57,6,1
57,7,1
57,8,1
57,9,1
57,10,1
57,11,1
57,12,0
57,13,0
57,14,1
57,15,0
57,16,0
57,17,1
57,18,0
57,19,1
57,20,1
57,21,1
57,22,1
57,23,0
57,24,1
57,25,1
57,26,0
57,27,1
57,28,0
57,29,0
57,30,1
57,31,1
57,32,0
57,33,1
57,34,1
57,35,0
57,36,0
57,37,0
57,38,0
17,0,0
17,1,1
17,2,1
17,3,1
17,4,1
17,5,0
17,6,1
17,7,1
17,8,1
17,9,1
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,1
17,16,1
17,17,1
17,18,1
17,19,1
17,20,0
17,21,1
17,22,0
17,23,1
17,24,0
17,25,1
17,26,0
17,27,0
17,28,1
17,29,0
17,30,1
17,31,1
17,32,0
17,33,0
17,34,1
17,35,0
17,36,1
17,37,0
17,38,1
15,0,0
15,1,0
15,2,1
15,3,0
15,4,1
15,5,1
15,6,1
15,7,1
15,8,0
15,9,1
15,10,1
15,11,1
15,12,0
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,1
15,23,1
15,24,1
15,25,1
15,26,0
15,27,1
15,28,1
15,29,0
15,30,1
15,31,1
15,32,0
15,33,1
15,34,1
15,35,1
15,36,0
15,37,1
15,38,1
35,0,0
35,1,0
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,0
35,8,1
35,9,0
35,10,0
35,11,1
35,12,0
35,13,1
35,14,1
35,15,0
35,16,1
35,17,0
35,18,1
35,19,1
35,20,1
35,21,1
35,22,1
35,23,1
35,24,1
35,25,0
35,26,0
35,27,1
35,28,0
35,29,0
35,30,0
35,31,0
35,32,1
35,33,1
35,34,1
35,35,0
35,36,1
35,37,1
35,38,1
76,0,1
76,1,1
76,2,0
76,3,0
76,4,1
76,5,1
76,6,0
76,7,0
76,8,1
76,9,0
76,10,1
76,11,1
76,12,0
76,13,1
76,14,1
76,15,0
76,16,0
76,17,0
76,18,0
76,19,1
76,20,0
76,21,0
76,22,0
76,23,0
76,24,0
76,25,0
76,26,0
76,27,0
76,28,1
76,29,0
76,30,1
76,31,0
76,32,0
76,33,0
76,34,0
76,35,1
76,36,1
76,37,0
76,38,0
39,0,0
39,1,0
39,2,1
39,3,0
39,4,1
39,5,1
39,6,0
39,7,1
39,8,1
39,9,1
39,10,1
39,11,1
39,12,0
39,13,0
39,14,1
39,15,1
39,16,1
39,17,1
39,18,1
39,19,1
39,20,1
39,21,1
39,22,1
39,23,0
39,24,1
39,25,0
39,26,1
39,27,1
39,28,1
39,29,1
39,30,1
39,31,1
39,32,1
39,33,1
39,34,1
39,35,1
39,36,1
39,37,0
39,38,1
23,0,0
23,1,0
23,2,1
23,3,0
23,4,1
23,5,1
23,6,1
23,7,1
23,8,0
23,9,1
23,10,0
23,11,1
23,12,1
23,13,0
23,14,0
23,15,1
23,16,1
23,17,1
23,18,1
23,19,1
23,20,1
23,21,1
23,22,1
23,23,1
23,24,0
23,25,1
23,26,1
23,27,1
23,28,1
23,29,1
23,30,0
23,31,1
23,32,1
23,33,1
23,34,1
23,35,0
23,36,0
23,37,1
23,38,0
6,0,0
6,1,1
6,2,0
6,3,1
6,4,0
6,5,1
6,6,0
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,0
6,13,1
6,14,0
6,15,0
6,16,1
6,17,0
6,18,1
6,19,0
6,20,0
6,21,1
6,22,1
6,23,0
6,24,0
6,25,1
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
6,31,0
6,32,1
6,33,1
6,34,1
6,35,0
6,36,1
6,37,1
6,38,1
51,0,1
51,1,1
51,2,0
51,3,1
51,4,0
51,5,0
51,6,1
51,7,0
51,8,1
51,9,1
51,10,0
51,11,0
51,12,1
51,13,1
51,14,0
51,15,0
51,16,0
51,17,1
51,18,0
51,19,1
51,20,1
51,21,0
51,22,0
51,23,1
51,24,1
51,25,0
51,26,1
51,27,0
51,28,0
51,29,1
51,30,1
51,31,0
51,32,0
51,33,0
51,34,0
51,35,0
51,36,0
51,37,0
51,38,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,1
14,5,0
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,0
14,14,1
14,15,1
14,16,1
14,17,0
14,18,1
14,19,1
14,20,1
14,21,1
14,22,1
14,23,1
14,24,0
14,25,1
14,26,1
14,27,1
14,28,1
14,29,0
14,30,1
14,31,0
14,32,0
14,33,1
14,34,1
14,35,1
14,36,1
14,37,1
14,38,1
104,0,1
104,1,1
104,2,0
104,3,1
104,4,1
104,5,1
104,6,0
104,7,1
104,8,0
104,9,0
104,10,1
104,11,0
104,12,0
104,13,1
104,14,1
104,15,1
104,16,1
104,17,1
104,18,0
104,19,1
104,20,0
104,21,0
104,22,0
104,23,0
104,24,0
104,25,0
104,26,0
104,27,0
104,28,0
104,29,1
104,30,1
104,31,0
104,32,1
104,33,0
104,34,1
104,35,0
104,36,0
104,37,1
104,38,0
91,0,1
91,1,0
91,2,1
91,3,1
91,4,1
91,5,1
91,6,0
91,7,0
91,8,0
91,9,0
91,10,1
91,11,0
91,12,0
91,13,1
91,14,1
91,15,0
91,16,0
91,17,1
91,18,0
91,19,1
91,20,1
91,21,0
91,22,0
91,23,1
91,24,1
91,25,0
91,26,0
91,27,0
91,28,0
91,29,0
91,30,1
91,31,0
91,32,1
91,33,0
91,34,0
91,35,0
91,36,0
91,37,1
91,38,1
28,0,0
28,1,0
28,2,0
28,3,1
28,4,1
28,5,0
28,6,0
28,7,0
28,8,0
28,9,1
28,10,1
28,11,0
28,12,1
28,13,1
28,14,0
28,15,0
28,16,0
28,17,1
28,18,1
28,19,0
28,20,0
28,21,1
28,22,1
28,23,0
28,24,1
28,25,1
28,26,1
28,27,1
28,28,1
28,29,1
28,30,1
28,31,0
28,32,0
28,33,1
28,34,1
28,35,1
28,36,0
28,37,1
28,38,1
2,0,0
2,1,1
2,2,0
2,3,1
2,4,0
2,5,1
2,6,0
2,7,0
2,8,1
2,9,0
2,10,1
2,11,1
2,12,0
2,13,0
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,0
2,20,1
2,21,1
2,22,1
2,23,1
2,24,0
2,25,1
2,26,1
2,27,1
2,28,0
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,0
2,36,1
2,37,1
2,38,0
84,0,1
84,1,0
84,2,0
84,3,0
84,4,1
84,5,1
84,6,0
84,7,0
84,8,0
84,9,0
84,10,0
84,11,0
84,12,1
84,13,1
84,14,0
84,15,0
84,16,1
84,17,0
84,18,1
84,19,1
84,20,0
84,21,0
84,22,0
84,23,1
84,24,0
84,25,1
84,26,0
84,27,1
84,28,0
84,29,1
84,30,1
84,31,0
84,32,0
84,33,1
84,34,0
84,35,1
84,36,1
84,37,1
84,38,0
37,0,0
37,1,1
37,2,1
37,3,1
37,4,1
37,5,1
37,6,1
37,7,1
37,8,0
37,9,1
37,10,1
37,11,1
37,12,1
37,13,1
37,14,1
37,15,1
37,16,1
37,17,0
37,18,1
37,19,0
37,20,0
37,21,1
37,22,1
37,23,1
37,24,1
37,25,1
37,26,0
37,27,1
37,28,0
37,29,0
37,30,1
37,31,1
37,32,0
37,33,1
37,34,1
37,35,1
37,36,0
37,37,0
37,38,1
68,0,1
68,1,1
68,2,0
68,3,1
68,4,0
68,5,0
68,6,0
68,7,1
68,8,1
68,9,0
68,10,0
68,11,0
68,12,1
68,13,1
68,14,0
68,15,0
68,16,0
68,17,0
68,18,0
68,19,0
68,20,0
68,21,0
68,22,0
68,23,0
68,24,0
68,25,0
68,26,0
68,27,0
68,28,0
68,29,0
68,30,1
68,31,0
68,32,1
68,33,0
68,34,1
68,35,0
68,36,1
68,37,1
68,38,1
42,0,0
42,1,1
42,2,1
42,3,0
42,4,1
42,5,1
42,6,1
42,7,0
42,8,0
42,9,0
42,10,1
42,11,0
42,12,0
42,13,1
42,14,1
42,15,0
42,16,0
42,17,0
42,18,1
42,19,0
42,20,0
42,21,1
42,22,1
42,23,1
42,24,0
42,25,1
42,26,0
42,27,1
42,28,1
42,29,0
42,30,1
42,31,1
42,32,0
42,33,1
42,34,1
42,35,1
42,36,1
42,37,1
42,38,1
10,0,1
10,1,0
10,2,0
10,3,1
10,4,1
10,5,0
10,6,1
10,7,0
10,8,1
10,9,1
10,10,1
10,11,1
10,12,0
10,13,0
10,14,0
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
10,21,1
10,22,1
10,23,1
10,24,1
10,25,1
10,26,1
10,27,1
10,28,1
10,29,0
10,30,1
10,31,1
10,32,0
10,33,0
10,34,0
10,35,0
10,36,1
10,37,0
10,38,1
9,0,1
9,1,1
9,2,1
9,3,1
9,4,0
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,0
9,12,0
9,13,0
9,14,0
9,15,1
9,16,1
9,17,1
9,18,1
9,19,1
9,20,0
9,21,1
9,22,1
9,23,0
9,24,0
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,1
9,31,1
9,32,0
9,33,0
9,34,1
9,35,1
9,36,0
9,37,0
9,38,0
67,0,0
67,1,1
67,2,0
67,3,1
67,4,0
67,5,0
67,6,1
67,7,1
67,8,1
67,9,0
67,10,0
67,11,1
67,12,1
67,13,1
67,14,0
67,15,0
