question,worker,answer
79185673,6cd846cf-d626-4a84-a403-31f1a534cf93,2
79185673,a5174970-e186-4d45-af39-62f40ed95a30,1
79185673,becd007f-dd5c-4802-8ae5-72bd711be615,0
79185673,dab78240-63b5-4188-830b-d298b04d28ba,0
79185673,57219386-fb63-417a-b2cd-036a265f4687,1
79185673,5c757d16-ffa0-4c96-85cd-0ba4f5ad5151,0
84312565,a5174970-e186-4d45-af39-62f40ed95a30,0
84312565,766d0a64-949b-4015-8c42-339cb7d033fd,0
84312565,94958cd2-c3d9-4ff8-a45f-f7e7fac48684,2
84312565,5d0a5c4b-f25c-4764-8fd3-c1cc17dd2125,2
79195594,a5174970-e186-4d45-af39-62f40ed95a30,2
79195594,dab78240-63b5-4188-830b-d298b04d28ba,0
79195594,72042d78-0933-4fd7-809b-d932f99ba01c,1
79195594,b2278fda-f76f-4ce7-96a5-e2567f7fbeea,2
79195594,3878e1b5-6023-4df0-8ffe-57910b517140,2
82674035,a5174970-e186-4d45-af39-62f40ed95a30,1
82674035,2a97c841-5f68-46af-992a-846672f5b4b5,2
82674035,f246f364-ca59-4e97-a509-c96741686093,1
82674035,f2812e9c-d25c-4ff5-890f-8ea86bfcdfe8,2
82674035,5eace11c-2c89-4990-ad9c-e420e6d1274a,2
82838854,a5174970-e186-4d45-af39-62f40ed95a30,0
82838854,b919f078-c794-4ab6-9a3e-937e87d8989f,0
82838854,03234c24-3e0d-4287-8dbc-ead5efbc1311,0
82838854,63bf19d8-6aaa-41e6-90cb-94d2664fb08f,1
82838854,5b8ac808-dc95-4fed-ac19-d782bf5ca475,0
84313808,a5174970-e186-4d45-af39-62f40ed95a30,2
84313808,89b23856-5673-410d-ad5f-5f84fc6c68b2,2
84313808,5639769f-fc3b-46fd-9681-882855c43c05,2
84313808,f889f180-1598-4688-8bac-1c24feffed67,2
84313808,0372103c-bef5-4b56-8fce-d35135ee011f,1
82838193,a5174970-e186-4d45-af39-62f40ed95a30,1
82838193,95dd1578-bb7c-4771-be1d-7ee9dda246c7,2
82838193,bb5dde8c-a064-4152-81a3-dda763077a76,1
82840428,a5174970-e186-4d45-af39-62f40ed95a30,0
82840428,090f6e59-8bb2-4e4e-8c2d-d842002b6af6,2
82840428,a7b07af9-a3ec-4d96-97e1-d7832d9d5051,2
82840428,766d0a64-949b-4015-8c42-339cb7d033fd,2
82840428,522d56ac-d6d0-40a4-9bb2-57ab0f33f530,0
82840428,11f702d9-d002-4374-b062-2567126b2d4e,0
82840428,3bc04000-3e5c-4527-9591-a4386a02a7ce,1
82674497,a5174970-e186-4d45-af39-62f40ed95a30,1
82674497,96a3e949-1a9a-4b2e-8ade-fdb70d9e5e9e,2
82674497,b619dd37-f022-492f-bc0b-b43f2f0efb5b,2
84304741,a5174970-e186-4d45-af39-62f40ed95a30,0
84304741,b619dd37-f022-492f-bc0b-b43f2f0efb5b,2
84304741,d36fe75f-2b60-4d0f-9532-ebbe30a2a12f,0
84304741,0befef70-1867-4770-a09d-8de5bfcfa3fa,0
84304741,b778e79f-291d-454c-95c2-e8641461396e,2
81170491,a5174970-e186-4d45-af39-62f40ed95a30,1
81170491,57219386-fb63-417a-b2cd-036a265f4687,1
81170491,9dc6b305-074c-4e59-ad10-aac085ae0f6c,0
81170491,6ed1de2a-74a2-48a3-8eb5-220bf5c6154e,1
81170491,37eda561-1ce8-4a9d-b39f-1d99997be2ef,0
84304614,a5174970-e186-4d45-af39-62f40ed95a30,1
84304614,fc72b8e1-20b5-43c4-b566-4d51d0db6c80,1
84304614,772df8b7-f75d-4393-858f-cb15f2779ba8,1
84304614,0372103c-bef5-4b56-8fce-d35135ee011f,2
84304614,0e7bafd2-a1cd-4b30-91ec-a1b1d8e29044,1
83257167,a5174970-e186-4d45-af39-62f40ed95a30,1
83257167,bc3fb388-9cd7-4e5e-ad59-530e72380e32,1
83257167,512a9601-9b37-47a2-9165-2607cb2424dc,1
83257167,a2dd9252-84f6-4df2-a1d1-6b98daac501d,1
83257167,66952e46-ff9d-4c17-ab2a-182ec69ab924,1
82518378,a5174970-e186-4d45-af39-62f40ed95a30,2
82518378,8e99f861-feee-4003-8f4f-0738c1112cbd,1
82518378,b162cdcb-4d3e-48da-ba9e-f29a0ac8dd6e,1
82518378,d96d89ee-b6b6-43fe-80d1-258aa3aed547,0
82518378,ae09e315-c6ac-4342-bb7a-570f1524ce4a,2
79188733,a5174970-e186-4d45-af39-62f40ed95a30,2
79188733,bf9338b9-2c1e-4694-b228-f63b4ff96cd0,0
79188733,b4e5231f-8049-4305-b358-a0aa171b1b0c,1
79188733,e8ec517e-5570-4ee5-b113-0dec2be53225,2
79188733,001e8d89-bcb0-4828-a300-5bbd4db6bc57,2
84311760,a5174970-e186-4d45-af39-62f40ed95a30,1
