question,truth
"AKRON, OHIO - 2000",217074
"ALBION, IDAHO - 2000",262
"ALLEN, TEXAS - 2000",43554
"ANAHEIM, CALIFORNIA - 2000",328014
"ANKENY, IOWA - 2000",27117
"ANTIOCH, CALIFORNIA - 2000",90532
"ARKADELPHIA, ARKANSAS - 2000",10912
"ARP, TEXAS - 2000",901
"ASHBY, MASSACHUSETTS - 2000",2845
"ATLANTA, GEORGIA - 2005",483108
"AUGUSTA, MAINE - 2000",18560
"AUSTINTOWN, OHIO - 2000",38001
"BALTIMORE, MARYLAND - 2006",640961
"BARGERSVILLE, INDIANA - 2000",2120
"BARNSTEAD, NEW HAMPSHIRE - 2000",3886
"BELLINGHAM, WASHINGTON - 2000",67171
"BERKELEY HEIGHTS, NEW JERSEY - 2000",13407
"BERKELEY, CALIFORNIA - 2000",102743
"BERN, KANSAS - 2000",204
"BETTENDORF, IOWA - 2000",31275
"BEVERLY, MASSACHUSETTS - 2000",39862
"BIG STONE GAP, VIRGINIA - 2000",4856
"BILLINGS, MONTANA - 2000",89847
"BINGHAMTON, NEW YORK - 2000",47380
"BLISSFIELD, MICHIGAN - 2000",3223
"BOONE, NORTH CAROLINA - 2000",13472
"BOSTON, MASSACHUSETTS - 2005",596638
"BOUNTIFUL, UTAH - 2000",41301
"BOWLING GREEN, KENTUCKY - 2000",49296
"BRANSON, MISSOURI - 2000",6050
"BROWNSBURG, INDIANA - 2000",14520
"BROWNSVILLE, TEXAS - 2000",139722
"BUFFALO, NEW YORK - 2000",292648
"BURLINGTON, WISCONSIN - 2000",9936
"CALERA, ALABAMA - 2000",3158
"CAMBRIDGE, MASSACHUSETTS - 2000",101355
"CAMDEN, NEW JERSEY - 2000",79904
"CANTON, TEXAS - 2000",3292
"CARSON CITY, NEVADA - 2000",52457
"CASPER, WYOMING - 2000",49644
"CHATTANOOGA, TENNESSEE - 2000",155554
"CHATTANOOGA, TENNESSEE - 2006",168293
"CINCINNATI, OHIO - 2005",331310
"CLAIRTON, PENNSYLVANIA - 2000",8491
"CLAREMONT, CALIFORNIA - 2000",33998
"CLEVELAND, OHIO - 2000",478403
"COLUMBIA, ILLINOIS - 2000",7922
"COMPTON, CALIFORNIA - 2000",93493
"CONCORD, NEW HAMPSHIRE - 2000",40687
"CONVERSE, INDIANA - 2000",1137
"CORNELIUS, OREGON - 2000",9652
"CRAWFORDSVILLE, INDIANA - 2000",15243
"CULLMAN, ALABAMA - 2000",13995
"CULVER, OREGON - 2000",802
"CUMBERLAND, MARYLAND - 2000",21518
"DARMSTADT, INDIANA - 2000",1313
"DAVENPORT, IOWA - 2000",98359
"DAYTON, OREGON - 2000",2119
"DEDHAM, MASSACHUSETTS - 2000",23464
"DEKALB, ILLINOIS - 2000",39018
"DENTON, KANSAS - 2000",186
"DES MOINES, IOWA - 2000",198682
"DETROIT, MICHIGAN - 2006",918849
"DUNDEE, OREGON - 2000",2598
"DUNSTABLE, MASSACHUSETTS - 2000",2829
"EAGLE POINT, OREGON - 2000",4797
"EAU CLAIRE, WISCONSIN - 2000",61704
"EDINBURG, TEXAS - 2000",48465
"EGG HARBOR, WISCONSIN - 2000",250
"EL MONTE, CALIFORNIA - 2000",115965
"ELLSWORTH, WISCONSIN - 2000",2909
"ELMIRA, NEW YORK - 2000",30940
"ETTRICK, WISCONSIN - 2000",521
"EVANSVILLE, INDIANA - 2000",121582
"FAIRBURY, NEBRASKA - 2000",4262
"FAIRFAX, CALIFORNIA - 2000",7319
"FAIRHAVEN, MASSACHUSETTS - 2000",16159
"FARGO, NORTH DAKOTA - 2000",90599
"FLEMINGTON, MISSOURI - 2000",124
"FLINT, MICHIGAN - 2000",124943
"FOREST ACRES, SOUTH CAROLINA - 2000",10558
"FOREST GROVE, OREGON - 2000",17708
"FORESTVILLE, WISCONSIN - 2000",429
"FORT BRANCH, INDIANA - 2000",2320
"FORT DODGE, IOWA - 2000",25136
"FORT MILL, SOUTH CAROLINA - 2000",7587
"FREDERICKSBURG, VIRGINIA - 2000",19279
"FREMONT, CALIFORNIA - 2000",203413
"GALLUP, NEW MEXICO - 2000",20209
"GARY, INDIANA - 2000",102746
"GILROY, CALIFORNIA - 2000",41464
"GLENS FALLS, NEW YORK - 2000",14354
"GORHAM, NEW HAMPSHIRE - 2000",2895
"GRANBY, MASSACHUSETTS - 2000",6132
"GRAND PRAIRIE, TEXAS - 2000",127427
"GRASS VALLEY, OREGON - 2000",171
"GREENFIELD, CALIFORNIA - 2000",12583
"HAMPTON FALLS, NEW HAMPSHIRE - 2000",1880
"HAVRE DE GRACE, MARYLAND - 2000",11331
"HERMOSA BEACH, CALIFORNIA - 2000",18566
"HEYBURN, IDAHO - 2000",2899
"HOLGATE, OHIO - 2000",1194
"HOLLAND, MICHIGAN - 2000",35048
"HOLLISTON, MASSACHUSETTS - 2000",13801
"HOOT OWL, OKLAHOMA - 2000",0
"HOUSTON, TEXAS - 2005",2076189
"HOWLAND, MAINE - 2000",1362
"HUNTINGTON, NEW YORK - 2000",195289
"IBERIA, MISSOURI - 2000",605
"IDABEL, OKLAHOMA - 2000",6952
"INDIANAPOLIS, INDIANA - 2000",791926
"IOWA CITY, IOWA - 2000",62220
"IRVING, TEXAS - 2000",191615
"JACKSON, MISSISSIPPI - 2000",184256
"JACKSONVILLE, TEXAS - 2000",13868
"JASPER, INDIANA - 2000",12100
"JEFFERSON CITY, MISSOURI - 2000",39636
"JEFFERSON, IOWA - 2000",4626
"JESSUP, PENNSYLVANIA - 2000",4718
"JOHN DAY, OREGON - 2000",1821
"KIRYAS JOEL, NEW YORK - 2000",13138
"KNOXVILLE, TENNESSEE - 2000",173890
"KUTZTOWN, PENNSYLVANIA - 2000",5067
"LA CROSSE, WISCONSIN - 2000",51818
"LA MIRADA, CALIFORNIA - 2000",46783
"LA QUINTA, CALIFORNIA - 2000",23694
"LAFAYETTE, INDIANA - 2000",56397
"LAKE FOREST, CALIFORNIA - 2000",58707
"LAKE OSWEGO, OREGON - 2000",35278
"LANCASTER, CALIFORNIA - 2000",118718
"LANSING, MICHIGAN - 2000",119128
"LAWRENCE, KANSAS - 2000",80098
"LEBANON, VIRGINIA - 2000",3273
"LEWISTON, MAINE - 2000",35690
"LIMA, OHIO - 2000",40081
"LINCOLN PARK, MICHIGAN - 2000",40008
"LINCOLN, NEBRASKA - 2000",225581
"LITTLE CHUTE, WISCONSIN - 2000",10476
"LITTLE ROCK, ARKANSAS - 2000",183133
"MADISON, MISSISSIPPI - 2000",14692
"MADISON, WISCONSIN - 2000",208054
"MALIN, OREGON - 2000",638
"MANCHESTER, NEW HAMPSHIRE - 2000",107006
"MANTECA, CALIFORNIA - 2000",49258
"MARBLEHEAD, MASSACHUSETTS - 2000",20377
"MARQUETTE, MICHIGAN - 2000",19661
"MARSHALLTOWN, IOWA - 2000",26009
"MASSILLON, OHIO - 2000",31325
"MAURICE, IOWA - 2000",254
"MAUSTON, WISCONSIN - 2000",3740
"MEDFIELD, MASSACHUSETTS - 2000",12273
"MEDFORD, OREGON - 2000",63154
"MELROSE, MASSACHUSETTS - 2000",27134
"MERCED, CALIFORNIA - 2000",63893
"MERIDIAN, MISSISSIPPI - 2000",39968
"MILAN, MICHIGAN - 2000",4775
"MILTON, NEW HAMPSHIRE - 2000",3910
"MILWAUKEE, WISCONSIN - 2000",596974
"MILWAUKEE, WISCONSIN - 2006",602782
"MINERVA, OHIO - 2000",3934
"MINIDOKA, IDAHO - 2000",129
"MINNEAPOLIS, MINNESOTA - 2000",382618
"MINNETONKA, MINNESOTA - 2000",51301
"MISSION, TEXAS - 2000",45408
"MODESTO, CALIFORNIA - 2000",188856
"MONTAGUE, MICHIGAN - 2000",2407
"MONTEREY, CALIFORNIA - 2000",29674
"MONTGOMERY, ALABAMA - 2000",201568
"MOSES LAKE, WASHINGTON - 2000",14953
"MOUND CITY, KANSAS - 2000",821
"MOUNT CARROLL, ILLINOIS - 2000",1832
"MUNCIE, INDIANA - 2000",67430
"MURRIETA, CALIFORNIA - 2000",44282
"MUSKEGON, MICHIGAN - 2000",40105
"MUSKOGEE, OKLAHOMA - 2000",38310
"NACOGDOCHES, TEXAS - 2000",29914
"NASHUA, NEW HAMPSHIRE - 2000",86605
"NEW BERLIN, WISCONSIN - 2000",38220
"NEW ORLEANS, LOUISIANA - 2000",484674
"NEW SQUARE, NEW YORK - 2000",4624
"NEWARK, NEW JERSEY - 2000",273546
"NORFOLK, VIRGINIA - 2000",234403
"NORMAN, OKLAHOMA - 2000",95694
"NORTH READING, MASSACHUSETTS - 2000",13837
"NORTH WILKESBORO, NORTH CAROLINA - 2000",4116
"NORTH, SOUTH CAROLINA - 2000",813
"NORWOOD, KENTUCKY - 2000",395
"OCEANSIDE, CALIFORNIA - 2000",161029
"OMAHA, NEBRASKA - 2000",390007
"ONSLOW, IOWA - 2000",223
"ONTARIO, CALIFORNIA - 2000",158007
"ORANGE CITY, IOWA - 2000",5582
"ORANGEBURG, SOUTH CAROLINA - 2000",12765
"PADUCAH, TEXAS - 2000",1498
"PAMPA, TEXAS - 2000",17887
"PAUL, IDAHO - 2000",998
"PEARLAND, TEXAS - 2000",37640
"PELHAM, NEW HAMPSHIRE - 2000",10914
"PEPIN, WISCONSIN - 2000",878
"PERRYTON, TEXAS - 2000",7774
"PETERBOROUGH, NEW HAMPSHIRE - 2000",5883
"PIEDMONT, WEST VIRGINIA - 2000",1014
"PITTSBURGH, PENNSYLVANIA - 2000",334563
"PLANO, TEXAS - 2000",222030
"PLEASANTON, CALIFORNIA - 2000",63654
"POLO, ILLINOIS - 2000",2477
