question,truth
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,0
